Arc,xmin,ymin,xmax,ymax
Arc,297,776,5562,231
Arc,297,776,5562,231
Arc,297,2289,2129,2099
Arc,297,2289,2129,2099
Arc,1599,2601,5562,1797
Arc,1599,2601,5562,1797
Arc,5809,3037,5824,3014
Arc,5809,3037,5824,3014
Arc,5994,3037,6009,3014
Arc,5994,3037,6009,3014
Arc,6466,354,6475,330
Arc,6466,354,6475,330
Arc,5836,821,5881,812
Arc,5836,821,5881,812
Arc,5995,77,6071,48
Arc,5995,77,6071,48
Arc,5885,821,5930,799
Arc,5885,821,5930,799
Arc,5890,67,5922,48
Arc,5890,67,5922,48
Arc,5983,821,6028,773
Arc,5983,821,6028,773
Arc,5641,473,5664,445
Arc,5641,473,5664,445
Arc,5616,445,5665,375
Arc,5616,445,5665,375
Arc,5665,433,5705,389
Arc,5665,433,5705,389
Arc,5664,473,5713,433
Arc,5664,473,5713,433
Arc,6361,821,6466,731
Arc,6361,821,6466,731
Arc,6166,821,6211,775
Arc,6166,821,6211,775
Arc,6466,376,6475,355
Arc,6466,376,6475,355
Arc,6466,769,6475,713
Arc,6466,769,6475,713
Arc,5697,507,5700,470
Arc,5697,507,5700,470
Arc,5659,546,5699,507
Arc,5659,546,5699,507
Arc,5657,567,5690,523
Arc,5657,567,5690,523
Arc,5690,523,5697,488
Arc,5690,523,5697,488
Arc,6466,769,6475,713
Arc,6466,769,6475,713
Arc,5742,821,5781,812
Arc,5742,821,5781,812
Arc,6470,476,6475,410
Arc,6470,476,6475,410
Circle,xmin,ymin,xmax,ymax
Circle,709,1361,721,1342
Circle,709,1361,721,1342
Circle,5717,2892,5728,2876
Circle,5717,2892,5728,2876
Circle,5733,2892,5746,2876
Circle,5733,2892,5746,2876
Circle,5767,2892,5778,2876
Circle,5767,2892,5778,2876
Circle,5783,2892,5794,2876
Circle,5783,2892,5794,2876
Circle,5813,2892,5828,2876
Circle,5813,2892,5828,2876
Circle,5861,2892,5871,2876
Circle,5861,2892,5871,2876
Circle,5910,2892,5921,2876
Circle,5910,2892,5921,2876
Circle,5925,2892,5936,2876
Circle,5925,2892,5936,2876
Circle,5941,2892,5953,2876
Circle,5941,2892,5953,2876
Circle,5958,2892,5968,2876
Circle,5958,2892,5968,2876
Circle,6019,2892,6030,2876
Circle,6019,2892,6030,2876
Circle,6066,2892,6078,2876
Circle,6066,2892,6078,2876
Circle,6083,2892,6094,2876
Circle,6083,2892,6094,2876
Circle,5713,3037,5729,3014
Circle,5713,3037,5729,3014
Circle,5736,3037,5754,3014
Circle,5736,3037,5754,3014
Circle,5785,3037,5801,3014
Circle,5785,3037,5801,3014
Circle,5852,3037,5874,3014
Circle,5852,3037,5874,3014
Circle,5922,3037,5937,3014
Circle,5922,3037,5937,3014
Circle,6016,3037,6032,3014
Circle,6016,3037,6032,3014
Circle,6039,3037,6057,3014
Circle,6039,3037,6057,3014
Circle,6064,3037,6079,3014
Circle,6064,3037,6079,3014
Circle,6153,3037,6168,3014
Circle,6153,3037,6168,3014
Circle,6221,3037,6239,3014
Circle,6221,3037,6239,3014
Circle,6246,3037,6261,3014
Circle,6246,3037,6261,3014
Circle,5713,3070,5725,3052
Circle,5713,3070,5725,3052
Circle,5740,3070,5753,3052
Circle,5740,3070,5753,3052
Circle,5774,3070,5786,3052
Circle,5774,3070,5786,3052
Circle,5792,3070,5803,3058
Circle,5792,3070,5803,3058
Circle,5875,3070,5887,3052
Circle,5875,3070,5887,3052
Circle,5892,3070,5904,3052
Circle,5892,3070,5904,3052
Circle,5909,3070,5920,3052
Circle,5909,3070,5920,3052
Circle,5926,3070,5937,3052
Circle,5926,3070,5937,3052
Circle,5968,3070,5979,3052
Circle,5968,3070,5979,3052
Circle,6002,3070,6012,3058
Circle,6002,3070,6012,3058
Circle,6018,3070,6028,3058
Circle,6018,3070,6028,3058
Circle,6065,3070,6077,3052
Circle,6065,3070,6077,3052
Circle,5729,3102,5739,3090
Circle,5729,3102,5739,3090
Circle,5798,3102,5808,3084
Circle,5798,3102,5808,3084
Circle,5906,3102,5918,3084
Circle,5906,3102,5918,3084
Circle,5923,3102,5935,3084
Circle,5923,3102,5935,3084
Circle,5940,3102,5951,3084
Circle,5940,3102,5951,3084
Circle,5957,3102,5969,3084
Circle,5957,3102,5969,3084
Circle,5974,3102,5986,3084
Circle,5974,3102,5986,3084
Circle,5991,3102,6003,3084
Circle,5991,3102,6003,3084
Circle,6008,3102,6020,3084
Circle,6008,3102,6020,3084
Circle,6057,3102,6067,3090
Circle,6057,3102,6067,3090
Circle,6134,3102,6145,3084
Circle,6134,3102,6145,3084
Circle,6243,3102,6255,3084
Circle,6243,3102,6255,3084
Circle,6260,3102,6272,3084
Circle,6260,3102,6272,3084
Circle,6277,3102,6288,3084
Circle,6277,3102,6288,3084
Circle,6294,3102,6306,3084
Circle,6294,3102,6306,3084
Circle,6311,3102,6323,3084
Circle,6311,3102,6323,3084
Circle,6328,3102,6340,3084
Circle,6328,3102,6340,3084
Circle,257,4233,273,4222
Circle,257,4233,273,4222
Circle,257,4203,273,4193
Circle,257,4203,273,4193
Circle,257,4066,273,4055
Circle,257,4066,273,4055
Circle,257,4050,273,4040
Circle,257,4050,273,4040
Circle,257,4034,273,4023
Circle,257,4034,273,4023
Circle,257,3966,273,3954
Circle,257,3966,273,3954
Circle,257,3918,273,3907
Circle,257,3918,273,3907
Circle,257,3903,273,3893
Circle,257,3903,273,3893
Circle,257,3869,273,3859
Circle,257,3869,273,3859
Circle,257,3853,273,3844
Circle,257,3853,273,3844
Circle,257,3805,273,3794
Circle,257,3805,273,3794
Circle,257,3790,273,3778
Circle,257,3790,273,3778
Circle,257,3754,273,3744
Circle,257,3754,273,3744
Circle,257,3725,273,3714
Circle,257,3725,273,3714
Circle,257,3695,273,3685
Circle,257,3695,273,3685
Circle,257,3661,273,3651
Circle,257,3661,273,3651
Circle,257,3645,273,3635
Circle,257,3645,273,3635
Circle,257,3611,273,3600
Circle,257,3611,273,3600
Circle,257,3596,273,3586
Circle,257,3596,273,3586
Circle,257,3562,273,3552
Circle,257,3562,273,3552
Circle,257,3546,273,3537
Circle,257,3546,273,3537
Circle,257,3513,273,3503
Circle,257,3513,273,3503
Circle,257,3498,273,3487
Circle,257,3498,273,3487
Circle,257,3421,273,3410
Circle,257,3421,273,3410
Circle,257,3406,273,3396
Circle,257,3406,273,3396
Circle,257,3391,273,3381
Circle,257,3391,273,3381
Circle,257,3326,273,3315
Circle,257,3326,273,3315
Circle,257,3311,273,3301
Circle,257,3311,273,3301
Circle,257,3296,273,3286
Circle,257,3296,273,3286
Circle,257,3238,273,3227
Circle,257,3238,273,3227
Circle,257,3163,273,3153
Circle,257,3163,273,3153
Circle,257,3118,273,3107
Circle,257,3118,273,3107
Circle,257,3070,273,3060
Circle,257,3070,273,3060
Circle,262,2990,273,2981
Circle,262,2990,273,2981
Circle,262,2960,273,2951
Circle,262,2960,273,2951
Circle,257,2883,273,2873
Circle,257,2883,273,2873
Circle,257,2856,273,2843
Circle,257,2856,273,2843
Circle,257,2811,273,2801
Circle,257,2811,273,2801
Circle,257,2645,273,2635
Circle,257,2645,273,2635
Circle,257,2614,273,2604
Circle,257,2614,273,2604
Circle,257,2599,273,2589
Circle,257,2599,273,2589
Circle,257,2570,273,2560
Circle,257,2570,273,2560
Circle,257,2540,273,2529
Circle,257,2540,273,2529
Circle,6455,328,6475,319
Circle,6455,328,6475,319
Circle,6455,386,6464,376
Circle,6455,386,6464,376
Circle,6455,375,6464,355
Circle,6455,375,6464,355
Circle,6455,354,6464,329
Circle,6455,354,6464,329
Circle,6415,366,6451,355
Circle,6415,366,6451,355
Circle,6415,379,6451,366
Circle,6415,379,6451,366
Circle,6403,359,6412,331
Circle,6403,359,6412,331
Circle,6403,380,6412,359
Circle,6403,380,6412,359
Circle,6391,359,6400,331
Circle,6391,359,6400,331
Circle,6391,381,6400,359
Circle,6391,381,6400,359
Circle,6379,382,6389,360
Circle,6379,382,6389,360
Circle,6364,386,6374,363
Circle,6364,386,6374,363
Circle,6339,375,6362,364
Circle,6339,375,6362,364
Circle,6340,387,6363,376
Circle,6340,387,6363,376
Circle,6342,396,6374,386
Circle,6342,396,6374,386
Circle,6301,385,6315,369
Circle,6301,385,6315,369
Circle,6290,366,6330,353
Circle,6290,366,6330,353
Circle,6286,356,6296,330
Circle,6286,356,6296,330
Circle,6322,303,6331,281
Circle,6322,303,6331,281
Circle,6322,351,6331,331
Circle,6322,351,6331,331
Circle,6322,330,6331,304
Circle,6322,330,6331,304
Circle,6311,301,6320,281
Circle,6311,301,6320,281
Circle,6299,314,6308,281
Circle,6299,314,6308,281
Circle,6290,278,6336,269
Circle,6290,278,6336,269
Circle,6336,313,6346,272
Circle,6336,313,6346,272
Circle,6346,278,6371,269
Circle,6346,278,6371,269
Circle,6348,290,6384,281
Circle,6348,290,6384,281
Circle,6348,313,6371,304
Circle,6348,313,6371,304
Circle,6371,313,6395,304
Circle,6371,313,6395,304
Circle,6396,278,6420,269
Circle,6396,278,6420,269
Circle,6386,302,6418,293
Circle,6386,302,6418,293
Circle,6421,313,6430,272
Circle,6421,313,6430,272
Circle,6380,328,6414,319
Circle,6380,328,6414,319
Circle,6435,313,6444,269
Circle,6435,313,6444,269
Circle,6469,473,6470,413
Circle,6469,473,6470,413
Circle,6469,473,6470,413
Circle,6469,473,6470,413
Circle,6447,302,6475,293
Circle,6447,302,6475,293
Circle,6447,290,6475,281
Circle,6447,290,6475,281
Circle,6298,353,6308,317
Circle,6298,353,6308,317
Circle,6310,329,6319,304
Circle,6310,329,6319,304
Circle,6336,358,6375,319
Circle,6336,358,6375,319
Circle,6416,341,6428,331
Circle,6416,341,6428,331
Circle,6467,702,6475,657
Circle,6467,702,6475,657
Circle,5892,604,5937,586
Circle,5892,604,5937,586
Circle,5912,695,5967,632
Circle,5912,695,5967,632
Circle,6313,473,6358,445
Circle,6313,473,6358,445
Circle,5603,559,5627,548
Circle,5603,559,5627,548
Circle,6429,422,6435,410
Circle,6429,422,6435,410
Circle,6412,422,6428,411
Circle,6412,422,6428,411
Circle,6066,377,6091,361
Circle,6066,377,6091,361
Circle,6043,337,6057,319
Circle,6043,337,6057,319
Circle,5997,328,6038,319
Circle,5997,328,6038,319
Circle,6029,361,6038,330
Circle,6029,361,6038,330
Circle,6017,359,6026,330
Circle,6017,359,6026,330
Circle,6005,375,6015,330
Circle,6005,375,6015,330
Circle,6018,391,6026,378
Circle,6018,391,6026,378
Circle,5994,362,6003,329
Circle,5994,362,6003,329
Circle,5994,387,6003,363
Circle,5994,387,6003,363
Circle,6029,421,6038,391
Circle,6029,421,6038,391
Circle,6043,419,6056,384
Circle,6043,419,6056,384
Circle,6078,391,6102,379
Circle,6078,391,6102,379
Circle,6102,388,6125,377
Circle,6102,388,6125,377
Circle,6093,413,6127,400
Circle,6093,413,6127,400
Circle,6058,416,6091,404
