Polyline,X,Y
1,1482,2212
2,1481,2212
3,1481,2213
4,1480,2214
5,1481,2215
6,1481,2215
7,1482,2215
8,1482,2213
9,1483,2212
10,1483,2212
11,1484,2212
12,1484,2213
13,1484,2214
14,1484,2215
15,1483,2215
16,1483,2216
1,2150,2230
2,2150,2230
3,2150,2231
4,2150,2232
5,2151,2232
6,2151,2233
7,2152,2232
8,2152,2232
9,2152,2230
10,2152,2230
11,2153,2229
12,2153,2229
13,2154,2230
14,2154,2231
15,2154,2232
16,2154,2232
1,2161,2226
2,2161,2225
3,2161,2224
4,2161,2224
5,2160,2223
6,2159,2223
7,2159,2223
8,2159,2224
9,2159,2225
10,2159,2226
11,2158,2226
12,2158,2226
13,2157,2225
14,2157,2225
15,2157,2224
16,2157,2224
1,1546,2021
2,1509,2146
1,1532,2079
2,1532,2079
3,1532,2080
4,1532,2080
5,1532,2080
6,1532,2081
7,1531,2081
8,1531,2080
9,1531,2079
10,1530,2080
1,1531,2084
2,1529,2084
3,1531,2085
4,1529,2085
5,1531,2086
1,1528,2085
2,1530,2087
3,1528,2087
1,1529,2086
2,1529,2087
1,1529,2088
2,1528,2089
3,1529,2090
1,1528,2089
2,1528,2088
1,1617,525
2,1528,496
1,1573,514
2,1573,512
3,1572,514
4,1572,512
5,1571,513
1,1572,512
2,1570,513
3,1570,511
1,1571,512
2,1570,512
1,1569,513
2,1568,512
3,1567,512
1,1568,512
2,1569,511
1,1973,1842
2,2217,1924
1,2091,1879
2,2091,1879
3,2091,1878
4,2091,1878
5,2092,1879
6,2092,1879
7,2091,1879
8,2090,1880
9,2092,1880
1,2095,1879
2,2095,1881
3,2096,1880
4,2096,1881
5,2097,1880
1,2097,1882
2,2098,1881
3,2098,1882
1,2097,1881
2,2098,1882
1,2099,1881
2,2100,1882
3,2101,1881
1,2100,1882
2,2099,1883
1,1924,2091
2,1988,2112
1,1953,2096
2,1953,2096
3,1952,2096
4,1952,2096
5,1952,2097
6,1952,2098
7,1952,2098
8,1952,2098
9,1953,2098
10,1953,2098
11,1953,2097
12,1952,2097
13,1952,2097
1,1956,2098
2,1956,2099
3,1957,2098
4,1957,2100
5,1958,2098
1,1958,2100
2,1959,2099
3,1959,2100
1,1958,2099
2,1959,2100
1,1960,2099
2,1961,2100
3,1962,2100
1,1961,2100
2,1961,2101
1,1820,2115
2,1780,2243
1,1805,2172
2,1805,2172
3,1805,2173
4,1804,2172
1,1804,2173
2,1804,2175
1,1803,2174
2,1805,2173
1,1804,2176
2,1804,2176
3,1804,2176
4,1804,2175
5,1804,2175
6,1804,2175
7,1803,2175
8,1803,2175
9,1803,2175
10,1803,2176
11,1803,2176
12,1804,2176
13,1804,2175
14,1804,2175
1,1803,2179
2,1802,2179
3,1803,2180
4,1801,2180
5,1803,2181
1,1801,2181
2,1802,2182
3,1800,2183
1,1802,2182
2,1801,2183
1,1802,2184
2,1801,2185
3,1802,2186
1,1801,2185
2,1800,2185
1,2110,2172
2,1898,2101
1,2010,2142
2,2010,2142
3,2010,2142
4,2010,2141
1,2009,2140
2,2008,2141
1,2008,2139
2,2009,2141
1,2006,2141
2,2006,2141
3,2007,2141
4,2007,2141
5,2007,2140
6,2007,2139
7,2007,2139
8,2006,2139
9,2006,2140
10,2007,2140
11,2007,2141
12,2007,2141
13,2007,2140
1,2003,2140
2,2003,2138
3,2002,2139
4,2002,2138
5,2001,2139
1,2001,2137
2,2000,2139
3,2000,2137
1,2001,2138
2,2000,2137
1,1999,2138
2,1998,2137
3,1997,2138
1,1998,2137
2,1998,2136
1,2915,17
2,2667,761
3,2679,767
4,2666,762
5,2654,798
6,2670,804
1,2677,773
2,2660,768
3,2866,150
4,2953,179
1,23,687
2,144,696
3,150,649
1,1798,1311
2,1791,1328
3,1437,1207
4,1658,536
5,1524,492
6,1460,524
7,1198,437
8,1214,387
1,935,1846
2,1121,1908
3,1172,1776
1,1790,1307
2,1786,1321
3,1445,1204
4,1499,1038
5,1359,984
6,1461,674
7,1426,606
8,1240,544
9,1230,578
1,1716,393
2,1752,286
3,1781,295
1,23,1598
2,25,1598
3,68,1605
4,111,1612
5,150,1619
6,188,1626
7,227,1634
8,264,1642
9,283,1585
1,2678,769
2,2663,765
3,2854,191
4,2938,219
1,23,687
2,133,695
3,138,649
1,23,841
2,106,848
3,231,863
4,280,870
5,354,884
6,350,900
1,23,1599
2,25,1599
3,111,1612
4,188,1627
5,227,1635
6,269,1644
7,289,1586
1,468,2434
2,554,1993
3,621,1955
4,1473,2235
5,1578,2434
1,1784,1306
2,1781,1315
3,1449,1202
4,1505,1034
5,1367,981
6,1467,672
7,1429,598
8,1231,533
9,1217,576
1,1796,1310
2,1791,1327
3,1438,1206
4,1659,535
5,1524,490
6,1460,522
7,1199,435
8,1216,387
1,1795,1310
2,1791,1320
3,1443,1202
4,1711,388
5,1715,390
1,935,1846
2,923,1840
3,593,1731
4,602,1704
1,23,255
2,34,256
3,153,263
4,151,279
1,2304,1825
2,2251,1859
3,2236,1903
1,2304,1821
2,2307,1821
3,2305,1823
4,2306,1823
5,2307,1823
6,2307,1824
7,2307,1824
8,2307,1825
9,2307,1826
10,2307,1826
11,2305,1826
12,2305,1826
13,2304,1826
14,2304,1826
15,2303,1825
1,2645,794
2,2648,794
3,2646,796
4,2647,796
5,2647,796
6,2648,797
7,2648,797
8,2648,798
9,2648,799
10,2647,799
11,2646,799
12,2646,799
13,2645,799
14,2645,799
15,2644,798
1,2464,1322
2,2467,1322
3,2465,1324
4,2466,1324
5,2467,1324
6,2467,1325
7,2468,1326
8,2468,1326
9,2467,1327
10,2466,1328
11,2466,1328
12,2465,1328
13,2464,1328
14,2464,1327
15,2464,1327
1,2895,44
2,2898,44
3,2896,46
4,2897,46
5,2898,47
6,2898,47
7,2898,48
8,2898,49
9,2897,49
10,2897,49
11,2896,49
12,2895,49
13,2895,49
14,2895,48
1,2305,1817
2,2308,1817
3,2307,1819
4,2308,1819
5,2308,1819
6,2309,1821
7,2309,1821
8,2308,1822
9,2308,1822
10,2307,1823
11,2306,1823
12,2305,1822
13,2305,1822
14,2305,1822
1,2764,438
2,2768,438
3,2766,440
4,2766,440
5,2767,440
6,2768,440
7,2768,441
8,2768,441
9,2768,442
10,2767,443
11,2766,443
12,2765,443
13,2764,443
14,2764,442
15,2764,442
1,2077,2434
2,2143,2236
3,2144,2235
4,2144,2234
5,2144,2234
6,2145,2233
7,2146,2233
8,2146,2232
9,2147,2232
10,2147,2232
11,2148,2231
12,2148,2231
13,2149,2231
14,2149,2231
15,2150,2231
16,2151,2231
17,2151,2231
18,2152,2231
19,2154,2232
20,2761,2434
1,2575,2415
2,2575,2415
3,2575,2415
4,2574,2414
5,2574,2414
6,2574,2415
7,2573,2415
8,2574,2415
9,2574,2415
10,2574,2416
11,2575,2416
12,2575,2416
13,2574,2417
14,2574,2416
15,2573,2416
16,2573,2416
1,2578,2416
2,2578,2416
3,2578,2415
4,2577,2415
5,2576,2415
6,2576,2415
7,2576,2416
8,2576,2416
9,2577,2416
10,2578,2417
11,2578,2418
12,2577,2418
13,2576,2418
14,2576,2418
15,2576,2417
16,2575,2417
1,2579,2416
2,2579,2416
3,2579,2418
1,2581,2417
2,2581,2417
3,2581,2419
1,2584,2418
2,2584,2418
3,2583,2418
4,2583,2418
5,2582,2418
6,2582,2419
7,2582,2419
8,2582,2420
9,2583,2420
10,2583,2420
11,2584,2419
12,2583,2419
13,2583,2419
14,2582,2419
1,2586,2419
2,2586,2419
3,2585,2419
4,2585,2419
5,2585,2420
6,2585,2420
7,2585,2421
8,2586,2421
9,2586,2421
10,2586,2420
11,2587,2420
12,2587,2420
13,2587,2419
14,2587,2419
15,2586,2419
1,2589,2420
2,2589,2419
3,2588,2419
4,2588,2420
5,2587,2420
6,2587,2420
7,2587,2421
8,2587,2421
9,2588,2421
10,2588,2421
11,2589,2421
12,2589,2421
13,2589,2420
14,2588,2420
15,2588,2420
16,2587,2420
1,2590,2421
2,2592,2422
1,2593,2423
2,2594,2421
3,2595,2421
4,2595,2421
5,2595,2422
6,2595,2422
7,2595,2422
8,2594,2422
9,2593,2422
1,2595,2424
2,2596,2422
1,2598,2422
2,2596,2423
1,2596,2423
2,2597,2425
1,2598,2423
2,2599,2423
3,2600,2423
4,2598,2425
1,2601,2424
2,2601,2424
3,2602,2423
4,2601,2426
1,2604,2425
2,2603,2424
3,2603,2425
4,2603,2425
5,2604,2425
6,2604,2426
7,2604,2426
8,2604,2426
9,2604,2427
10,2603,2427
11,2603,2426
12,2602,2426
13,2602,2426
1,2606,2425
2,2605,2425
3,2605,2426
4,2605,2426
5,2606,2426
6,2607,2426
7,2607,2427
8,2607,2427
9,2606,2427
10,2605,2427
11,2605,2427
12,2605,2427
13,2605,2426
14,2605,2426
15,2606,2426
16,2607,2426
17,2607,2426
18,2607,2426
19,2607,2425
20,2606,2425
1,2609,2426
2,2608,2426
3,2608,2427
4,2608,2427
5,2609,2427
6,2609,2427
7,2609,2428
8,2609,2428
9,2608,2428
10,2608,2428
11,2608,2428
12,2607,2427
1,2610,2429
2,2611,2427
3,2612,2429
1,2610,2428
2,2611,2428
1,2577,2412
2,2577,2412
3,2578,2412
4,2577,2414
1,2579,2413
2,2580,2413
3,2579,2415
1,2583,2416
2,2583,2414
1,2585,2415
2,2583,2416
1,2583,2415
2,2584,2416
1,2586,2415
2,2586,2417
3,2588,2415
1,2590,2419
2,2590,2416
1,2591,2419
2,2591,2418
3,2591,2418
1,2591,2418
2,2592,2418
3,2593,2418
4,2593,2419
5,2592,2419
1,2597,2419
2,2596,2419
3,2596,2419
4,2596,2420
5,2596,2420
6,2596,2421
7,2597,2421
8,2597,2421
9,2598,2421
10,2598,2420
11,2598,2420
12,2598,2419
13,2597,2419
14,2597,2419
1,2598,2422
2,2599,2420
3,2600,2420
4,2600,2420
5,2600,2421
6,2600,2421
7,2600,2422
8,2599,2422
9,2598,2421
1,2601,2421
2,2603,2422
3,2603,2421
4,2602,2421
5,2602,2421
6,2601,2421
7,2601,2422
8,2601,2422
9,2602,2422
10,2602,2422
1,2603,2423
2,2603,2421
1,2603,2422
2,2603,2422
3,2604,2422
4,2604,2422
1,2606,2424
2,2607,2422
3,2607,2423
1,2607,2422
2,2606,2422
3,2605,2422
4,2605,2423
5,2605,2423
6,2605,2423
7,2605,2424
8,2606,2424
9,2607,2423
1,2608,2422
2,2608,2424
3,2608,2425
4,2608,2425
1,2608,2423
2,2609,2423
1,2610,2423
2,2610,2423
1,2609,2423
2,2609,2425
1,2611,2424
2,2610,2424
3,2610,2425
4,2610,2425
5,2610,2426
6,2611,2426
7,2611,2426
8,2612,2425
9,2612,2425
10,2611,2425
11,2611,2424
12,2611,2424
1,2612,2426
2,2613,2425
1,2612,2425
2,2613,2425
3,2613,2425
4,2614,2425
5,2614,2426
6,2613,2427
1,2644,799
2,2659,754
3,2676,760
1,2895,17
2,2826,222
3,2272,1887
4,2090,2434
1,2065,2434
2,2235,1925
3,1928,1826
1,2071,2260
2,2071,2260
3,2071,2260
4,2073,2260
1,2071,2258
2,2071,2258
3,2074,2258
1,2075,2254
2,2073,2254
1,2074,2253
2,2074,2254
1,2074,2254
2,2075,2253
1,2074,2252
2,2076,2251
3,2074,2249
1,2077,2247
2,2075,2247
3,2075,2246
4,2076,2245
5,2076,2245
6,2076,2246
7,2076,2247
1,2078,2245
2,2077,2244
3,2077,2245
1,2077,2244
2,2077,2244
1,2077,2242
2,2077,2243
3,2078,2243
4,2078,2243
5,2078,2243
6,2079,2243
7,2079,2242
8,2079,2241
9,2078,2241
10,2078,2241
11,2077,2242
1,2080,2241
2,2078,2240
3,2078,2240
1,2078,2240
2,2078,2240
3,2078,2239
4,2079,2239
5,2079,2239
6,2080,2239
7,2080,2240
8,2080,2240
9,2079,2241
1,2079,2237
2,2079,2238
3,2080,2238
4,2080,2238
5,2081,2238
6,2081,2237
7,2081,2237
8,2080,2237
9,2080,2237
10,2079,2237
1,2080,2234
2,2080,2235
3,2080,2236
4,2080,2236
5,2081,2235
6,2081,2234
7,2081,2234
8,2081,2235
9,2081,2236
10,2081,2236
11,2081,2236
1,2081,2233
2,2081,2232
3,2081,2232
4,2081,2232
5,2081,2232
6,2081,2233
7,2081,2233
8,2081,2234
9,2081,2233
10,2082,2233
11,2082,2233
12,2082,2232
1,2081,2230
2,2083,2230
3,2083,2231
4,2083,2231
5,2082,2231
6,2082,2231
7,2081,2231
8,2081,2231
9,2081,2230
10,2082,2230
11,2082,2230
1,2071,2434
2,2081,2404
3,2083,2398
4,2107,2326
5,2111,2314
6,2147,2207
7,2151,2193
8,2218,1992
9,2222,1981
10,2300,1748
11,2305,1732
12,2377,1515
13,2384,1494
14,2419,1388
15,2428,1360
16,2472,1230
17,2479,1209
18,2565,949
19,2577,914
20,2629,757
21,2631,753
22,2634,743
23,2635,739
24,2651,690
25,2654,683
26,2673,625
