Polyline,X,Y,
,,,
1,1173,1269,
,,,
2,1198,1269,
,,,
3,1064,1118,
,,,
4,1173,1269,
,,,
1,1198,1269,
,,,
2,1064,1118,
,,,
3,1182,1106,
,,,
4,1198,1269,
,,,
1,1106,1269,
,,,
2,1122,1269,
,,,
3,1002,1124,
,,,
4,1106,1269,
,,,
1,1122,1269,
,,,
2,1002,1124,
,,,
3,1064,1118,
,,,
4,1122,1269,
,,,
1,1122,1269,
,,,
2,1064,1118,
,,,
3,1173,1269,
,,,
4,1122,1269,
,,,
1,1083,1269,
,,,
2,1089,1269,
,,,
3,981,1126,
,,,
4,1083,1269,
,,,
1,1089,1269,
,,,
2,981,1126,
,,,
3,1002,1124,
,,,
4,1089,1269,
,,,
1,1089,1269,
,,,
2,1002,1124,
,,,
3,1106,1269,
,,,
4,1089,1269,
,,,
1,1073,1269,
,,,
2,1075,1269,
,,,
3,971,1127,
,,,
4,1073,1269,
,,,
1,1075,1269,
,,,
2,971,1127,
,,,
3,981,1126,
,,,
4,1075,1269,
,,,
1,1075,1269,
,,,
2,981,1126,
,,,
3,1083,1269,
,,,
4,1075,1269,
,,,
1,1062,1269,
,,,
2,1065,1269,
,,,
3,961,1128,
,,,
4,1062,1269,
,,,
1,1065,1269,
,,,
2,961,1128,
,,,
3,971,1127,
,,,
4,1065,1269,
,,,
1,1065,1269,
,,,
2,971,1127,
,,,
3,1073,1269,
,,,
4,1065,1269,
,,,
1,1051,1269,
,,,
2,1054,1269,
,,,
3,951,1129,
,,,
4,1051,1269,
,,,
1,1054,1269,
,,,
2,951,1129,
,,,
3,961,1128,
,,,
4,1054,1269,
,,,
1,1054,1269,
,,,
2,961,1128,
,,,
3,1062,1269,
,,,
4,1054,1269,
,,,
1,1039,1269,
,,,
2,1043,1269,
,,,
3,940,1130,
,,,
4,1039,1269,
,,,
1,1043,1269,
,,,
2,940,1130,
,,,
3,951,1129,
,,,
4,1043,1269,
,,,
1,1043,1269,
,,,
2,951,1129,
,,,
3,1051,1269,
,,,
