xmin,ymin,xmax,ymax,Text
2142,211,2159,189,\W1.001346;P
2162,211,2167,189,\W0.998323;.
2170,211,2192,188,\W1.001018;O
2195,211,2200,189,\W0.998323;.
2204,211,2223,189,\W1.000781;B
2225,211,2247,188,\W1.001018;O
2249,211,2269,189,\W1.000797;X
2281,211,2285,189,\W0.998323;:
2298,211,2313,189,\W1.000861;5
2315,211,2330,189,\W1.001205;6
2332,211,2348,189,\W1.001341;4
2350,216,2355,189,"\W0.996957;,"
2367,211,2385,189,\W0.999597;T
2386,211,2401,189,\W0.999117;e
2405,211,2409,189,\W0.998323;l
2414,211,2418,189,\W0.998323;:
2431,211,2445,189,\W1.002139;0
2448,211,2464,189,\W1.001341;4
2467,211,2475,189,\W0.998766;-
2476,211,2491,189,\W1.000592;3
2493,211,2508,189,\W1.001336;2
2510,211,2525,189,\W1.001336;2
2529,211,2539,189,\W1.000662;1
2545,211,2560,189,\W1.001336;2
2562,211,2577,189,\W1.001205;6
2579,211,2594,189,\W1.001336;2
2597,216,2602,189,"\W0.996957;,"
2615,211,2630,189,\W0.999328;F
2633,211,2648,189,\W1.001593;a
2650,211,2666,189,\W1.001057;x
2670,211,2674,189,\W0.998323;:
2687,211,2701,189,\W1.002139;0
2703,211,2719,189,\W1.001341;4
2722,211,2731,189,\W0.998766;-
2732,211,2747,189,\W1.000592;3
2749,211,2764,189,\W1.001336;2
2766,211,2782,189,\W1.001341;4
2784,211,2799,189,\W1.000861;5
2801,211,2816,189,\W1.000861;5
2818,211,2834,189,\W1.001341;4
2836,211,2851,189,\W1.000861;5
2215,247,2233,225,\W1.002794;D
2237,247,2255,225,\W1.000512;U
2259,247,2278,225,\W1.000781;B
2279,247,2302,225,\W1.001408;A
2304,247,2308,225,\W0.999554;I
2312,252,2317,225,"\W0.996957;,"
2330,247,2347,225,\W1.000512;U
2353,247,2357,225,\W0.998323;.
2359,247,2381,225,\W1.001408;A
2384,247,2388,225,\W0.998323;.
2392,247,2409,225,\W1.002072;E
2413,247,2417,225,\W0.998323;.
2428,247,2457,225,\W1.000316;W
2459,247,2474,225,\W0.999117;e
2477,247,2493,225,\W1.000519;b
2497,247,2501,225,\W0.998323;:
2513,247,2537,225,\W1.000750;w
2537,247,2561,225,\W1.000750;w
2561,247,2585,225,\W1.000750;w
2588,247,2592,225,\W0.998323;.
2595,247,2611,225,\W1.000519;d
2614,247,2629,225,\W0.999117;e
2630,247,2654,225,\W1.000750;w
2656,247,2671,225,\W1.001593;a
2674,247,2678,225,\W0.998323;.
2682,253,2697,225,\W0.999554;g
2700,247,2717,225,\W1.000820;o
2719,247,2735,225,\W0.999186;v
2738,247,2742,225,\W0.998323;.
2746,247,2761,225,\W1.001593;a
2763,247,2778,225,\W0.999117;e
2206,155,2211,133,\W0.999554;I
2215,155,2229,133,\W0.998941;n
2232,155,2242,132,\W1.001571;f
2243,155,2254,133,\W1.000649;r
2255,155,2270,133,\W1.001593;a
2272,155,2287,133,\W1.002476;s
2289,155,2298,133,\W1.000029;t
2301,155,2311,133,\W1.000649;r
2312,155,2327,133,\W0.999903;u
2331,155,2346,133,\W1.000721;c
2347,155,2357,133,\W1.000029;t
2359,155,2374,133,\W0.999903;u
2379,155,2389,133,\W1.000649;r
2390,155,2405,133,\W0.999117;e
2417,155,2421,133,\W0.999554;I
2425,155,2440,133,\W0.998941;n
2442,155,2453,132,\W1.001571;f
2453,155,2470,133,\W1.000820;o
2473,155,2484,133,\W1.000649;r
2485,155,2509,133,\W0.999516;m
2512,155,2527,133,\W1.001593;a
2529,155,2538,133,\W1.000029;t
2541,155,2545,133,\W0.998323;i
2549,155,2565,133,\W1.000820;o
2568,155,2583,133,\W0.998941;n
2595,155,2615,132,\W1.001045;&amp;
2627,155,2644,133,\W1.001346;P
2647,155,2662,133,\W0.999117;e
2665,155,2676,133,\W1.000649;r
2677,155,2701,133,\W0.999516;m
2705,155,2709,133,\W0.998323;i
2712,155,2721,133,\W1.000029;t
2722,155,2737,133,\W1.002476;s
791,1153,837,1087,\W1.313683;J
519,2125,566,2060,\W1.313683;J
1417,1940,1464,1875,\W1.313683;J
