xmin,ymin,xmax,ymax,Text
1575,488,1783,455,\W1.000823;281-1818
1600,434,1754,401,\W1.000783;JO-122
1615,767,1698,744,\W0.999109;TP-05
1500,928,1696,904,\W1.001639;N 2792931.25
1522,968,1696,944,\W0.999270;E 517338.19
2137,562,2221,538,\W0.999147;TP-04
2136,642,2332,618,\W1.001546;N 2792918.48
2137,682,2310,658,\W0.999186;E 517376.58
2235,854,2319,830,\W0.999122;TP-02
2235,934,2431,910,\W1.001835;N 2792888.77
2235,974,2408,950,\W0.999286;E 517379.85
1655,1346,1808,1314,\W0.999184;uPVC Pipe
1518,1379,1805,1354,\W0.999284;Under IR165 JO-151
2981,2319,3134,2287,\W0.999184;uPVC Pipe
2981,2353,3268,2328,\W0.999284;Under IR165 JO-151
1999,1590,2250,1559,\W0.999350;Existing Irr 2x150
2140,494,2391,462,\W0.999350;Existing Irr 2x150
1932,367,2199,343,\W0.999544;1 Inch Water Meter
1932,414,2174,383,\W0.999489;Supply Assembly
2504,1741,2657,1710,\W0.999184;uPVC Pipe
2504,1774,2790,1750,\W0.999284;Under IR165 JO-151
1702,1183,1852,1159,\W0.998971;PLOT NO.
1728,1143,1825,1119,\W0.999119;JO-151
1713,1219,1842,1195,\W0.999160;281-1788
2244,1008,2325,984,\W0.999137;TP-01
2244,1049,2528,1025,\W0.999494;Tie In Connection to
2244,1130,2531,1105,\W0.999284;Under IR165 JO-151
2243,1169,2439,1145,\W1.001546;N 2792879.28
2243,1209,2418,1185,\W0.999270;E 517376.69
1853,992,1935,968,\W0.999327;TP-03
1737,1032,1933,1008,\W1.001639;N 2792893.95
1762,1072,1933,1048,\W0.999301;E 517377.11
1888,644,1918,615,\W0.962876;A
1813,863,1843,834,\W0.962876;A
2218,1395,2244,1366,\W1.013706;B
1919,1296,1945,1266,\W1.013706;B
4851,3235,4938,3220,\W1.000331;Drawing No.
4859,3351,4890,3339,\W0.999934;Date
4857,3405,4892,3393,\W0.999365;Scale
4898,3324,4945,3311,\W1.000904;IR 165
4868,3460,4937,3448,\W1.000101;Reference
4960,3459,4987,3448,\W1.000119;Rev.
4857,3298,4916,3287,\W1.000314;Contract
4382,3252,4463,3236,\W0.999980;Project Title
4382,3369,4473,3353,\W1.000180;Drawing Title
4466,3285,4756,3269,\W1.000119;SMALL SITES AND IRRIGATION
4485,3314,4739,3298,\W1.011094;CONNECTIONS- PHASE-11
4579,3264,4651,3248,\W1.020758;IR - 165
4845,3263,4984,3253,\W1.000810;GL/IR165/JO-122/ED-01
4878,3431,4951,3417,\W1.000877;1:750 @ A1
4877,3380,4951,3370,\W1.000868;05-04-2018
4619,1975,4749,1954,\W1.000046;THIS AREA
4559,2010,4807,1989,\W1.000206;AL KHAWANEEJ 1ST
4584,2045,4784,2024,\W0.999873;COMMUNITY 281
4499,3382,4737,3363,\W1.000353;1&quot; Irrigation Connection for
4541,3404,4698,3388,\W0.999998;Plot No. 281-1818
4488,3429,4747,3413,\W1.000358;with DEWA Electrical Services
4501,3458,4735,3439,\W1.000437;(JO-122) Al Khawaneej 1st
4389,30,4625,14,\W0.999691;IRRIGATION LEGEND:
4415,1059,4506,1046,\W0.999411;PIPE SIZE
4407,1097,4509,1084,\W0.999854;DUCT SIZE
4546,1060,4560,1047,\W0.999215;1&quot;
4543,1101,4560,1088,\W0.999361;4&quot;
4604,1101,4620,1088,\W0.999361;4&quot;
4664,1060,4680,1047,\W0.999220;2&quot;
4664,1101,4680,1088,\W0.999361;4&quot;
4728,1060,4744,1047,\W0.999336;3&quot;
4729,1101,4744,1088,\W0.999390;6&quot;
4789,1060,4806,1047,\W0.999361;4&quot;
4790,1101,4806,1088,\W0.998972;8&quot;
4853,1060,4869,1047,\W0.999390;6&quot;
4848,1101,4874,1088,\W0.999228;12&quot;
4906,1101,4931,1088,\W0.999228;12&quot;
4910,1060,4926,1047,\W0.998972;8&quot;
4388,1013,4659,999,\W0.999828;IRRIGATION DUCT SHEDULE
4398,186,4508,169,\W1.000224;LEGENDS:-
4550,190,4636,169,\W1.000024;(JO-122)
4596,117,4819,103,\W1.002470;150 mm DIA OR ABOVE AC.
4596,89,4749,75,\W1.003542;150 mm DIA u PVC
4403,63,4642,49,\W1.000315;MAIN LINE DONE BY OTHERS
4595,145,4830,131,\W1.000490;75 mm DIA OR ABOVE uPVC.
4578,239,4694,216,\W0.999988;Description
4911,239,4951,216,\W1.000408;Qty.
4517,826,4627,815,\W1.000099;THRUST BLOCK
4525,529,4709,517,\W1.000548;75mm Dia uPVC END CAP
4449,476,4472,469,\W1.000485;WMC
4423,476,4432,469,\W1.000497;IC
4525,470,4771,458,\W1.001995;1&quot; Dia IRRIGATION WATER SUPPLY
4525,490,4652,478,\W1.000224;METER ASSEMBLY
4521,416,4830,402,\W1.000152;TIE IN CONNECTION WITH 75 mm Dia
4521,438,4642,425,\W1.000132;uPVC END CAP
4524,722,4726,710,\W1.000456;75x50mm Dia uPVC Reducer
4525,747,4726,735,\W0.999987;50x38mm Dia uPVC Reducer
4519,877,4585,865,\W1.000342;TRIAL PIT
4520,931,4663,919,\W1.000222;CONCERET BARRIER
4516,376,4609,365,\W1.000872;75x75x75mm
4634,376,4727,364,\W1.000171;Dia uPVC TEE
4908,826,4952,814,\W1.002129;7 Nos.
4909,873,4952,862,\W0.999941;5 Nos.
4895,931,4968,919,\W0.999339;35.00 Mtrs
4912,722,4948,710,\W1.013512;1 No.
4912,747,4948,736,\W1.013512;1 No.
4912,528,4948,516,\W1.013512;1 No.
4912,477,4948,465,\W1.013512;1 No.
4912,425,4948,414,\W1.013512;1 No.
4910,375,4953,364,\W1.002401;2 Nos.
4520,282,4666,269,\W0.999595;3&quot; INCH DIA uPVC
4894,280,4968,268,\W1.000230;90.00 Mtrs
4520,331,4666,318,\W1.003769;1&quot; INCH DIA uPVC
4895,329,4968,317,\W1.006672;12.00 Mtrs
4911,589,4954,577,\W1.002401;2 Nos.
4911,655,4954,644,\W1.002401;2 Nos.
4524,774,4726,762,\W0.999708;38x25mm Dia uPVC Reducer
4912,774,4948,762,\W1.013512;1 No.
Polyline,X,Y
1,2117,3159
2,2116,3160
3,2115,3161
4,2115,3162
5,2115,3163
6,2115,3164
7,2117,3163
8,2118,3161
9,2118,3160
10,2119,3160
11,2120,3160
12,2120,3161
13,2121,3163
14,2120,3163
15,2119,3164
16,2118,3165
1,3072,3185
2,3072,3186
3,3072,3187
4,3072,3188
5,3073,3189
6,3074,3189
7,3074,3189
8,3074,3188
9,3074,3186
10,3074,3185
11,3075,3184
12,3076,3184
13,3077,3186
14,3078,3186
15,3078,3188
16,3077,3188
1,3087,3179
2,3087,3179
3,3088,3177
4,3087,3176
5,3086,3176
6,3085,3176
7,3084,3176
8,3084,3176
9,3084,3179
10,3084,3179
11,3084,3180
12,3083,3180
13,3082,3179
14,3081,3178
15,3081,3177
16,3082,3176
1,2209,2887
2,2155,3066
1,2188,2970
2,2188,2970
3,2189,2971
4,2189,2972
5,2188,2972
6,2188,2972
7,2187,2972
8,2187,2972
9,2187,2969
10,2186,2972
1,2187,2976
2,2185,2976
3,2187,2978
4,2184,2978
5,2187,2979
1,2184,2978
2,2186,2981
3,2184,2981
1,2184,2979
2,2184,2981
1,2185,2982
2,2184,2984
3,2184,2985
1,2184,2984
2,2183,2983
1,2310,750
2,2183,708
1,2248,735
2,2248,732
3,2247,734
4,2247,732
5,2245,733
1,2246,731
2,2243,733
3,2243,730
1,2245,732
2,2243,731
1,2241,733
2,2240,731
3,2239,732
1,2240,731
2,2241,729
1,2818,2631
2,3168,2748
1,2987,2683
2,2987,2683
