xmin,ymin,xmax,ymax,Text
2146,224,2163,202,\W1.001346;P
2166,224,2170,202,\W0.998323;.
2174,224,2195,201,\W1.001018;O
2199,224,2203,202,\W0.998323;.
2208,224,2226,202,\W1.000781;B
2229,224,2251,201,\W1.001018;O
2252,224,2273,202,\W1.000797;X
2285,224,2289,202,\W0.998323;:
2302,224,2317,202,\W1.000861;5
2319,224,2334,202,\W1.001205;6
2336,224,2351,202,\W1.001341;4
2354,229,2359,202,"\W0.996957;,"
2371,224,2389,202,\W0.999597;T
2390,224,2405,202,\W0.999117;e
2408,224,2413,202,\W0.998323;l
2418,224,2422,202,\W0.998323;:
2435,224,2449,202,\W1.002139;0
2452,224,2468,202,\W1.001341;4
2471,224,2479,202,\W0.998766;-
2480,224,2495,202,\W1.000592;3
2497,224,2512,202,\W1.001336;2
2514,224,2529,202,\W1.001336;2
2533,224,2543,202,\W1.000662;1
2549,224,2564,202,\W1.001336;2
2567,224,2581,202,\W1.001205;6
2583,224,2598,202,\W1.001336;2
2602,229,2606,202,"\W0.996957;,"
2619,224,2635,202,\W0.999328;F
2638,224,2653,202,\W1.001593;a
2654,224,2671,202,\W1.001057;x
2674,224,2678,202,\W0.998323;:
2691,224,2706,202,\W1.002139;0
2708,224,2724,202,\W1.001341;4
2727,224,2735,202,\W0.998766;-
2736,224,2751,202,\W1.000592;3
2753,224,2768,202,\W1.001336;2
2770,224,2786,202,\W1.001341;4
2788,224,2803,202,\W1.000861;5
2806,224,2821,202,\W1.000861;5
2822,224,2838,202,\W1.001341;4
2840,224,2855,202,\W1.000861;5
2218,260,2237,238,\W1.002794;D
2241,260,2258,238,\W1.000512;U
2263,260,2282,238,\W1.000781;B
2283,260,2305,238,\W1.001408;A
2308,260,2312,238,\W0.999554;I
2316,265,2320,238,"\W0.996957;,"
2334,260,2351,238,\W1.000512;U
2357,260,2361,238,\W0.998323;.
2363,260,2385,238,\W1.001408;A
2388,260,2392,238,\W0.998323;.
2396,260,2413,238,\W1.002072;E
2417,260,2421,238,\W0.998323;.
2432,260,2461,238,\W1.000316;W
2463,260,2478,238,\W0.999117;e
2481,260,2497,238,\W1.000519;b
2501,260,2505,238,\W0.998323;:
2517,260,2541,238,\W1.000750;w
2541,260,2565,238,\W1.000750;w
2565,260,2589,238,\W1.000750;w
2592,260,2596,238,\W0.998323;.
2600,260,2615,238,\W1.000519;d
2618,260,2633,238,\W0.999117;e
2635,260,2658,238,\W1.000750;w
2660,260,2675,238,\W1.001593;a
2678,260,2683,238,\W0.998323;.
2686,266,2702,238,\W0.999554;g
2705,260,2721,238,\W1.000820;o
2723,260,2740,238,\W0.999186;v
2742,260,2747,238,\W0.998323;.
2750,260,2765,238,\W1.001593;a
2767,260,2782,238,\W0.999117;e
2210,168,2214,146,\W0.999554;I
2218,168,2233,146,\W0.998941;n
2235,168,2246,145,\W1.001571;f
2247,168,2257,146,\W1.000649;r
2258,168,2273,146,\W1.001593;a
2275,168,2290,146,\W1.002476;s
2292,168,2302,146,\W1.000029;t
2305,168,2315,146,\W1.000649;r
2316,168,2331,146,\W0.999903;u
2335,168,2350,146,\W1.000721;c
2351,168,2361,146,\W1.000029;t
2363,168,2378,146,\W0.999903;u
2382,168,2393,146,\W1.000649;r
2394,168,2409,146,\W0.999117;e
2421,168,2425,146,\W0.999554;I
2429,168,2444,146,\W0.998941;n
2446,168,2457,145,\W1.001571;f
2457,168,2474,146,\W1.000820;o
2477,168,2488,146,\W1.000649;r
2489,168,2513,146,\W0.999516;m
2516,168,2531,146,\W1.001593;a
2533,168,2542,146,\W1.000029;t
2545,168,2549,146,\W0.998323;i
2553,168,2569,146,\W1.000820;o
2573,168,2587,146,\W0.998941;n
2599,169,2620,146,\W1.001045;&amp;
2632,168,2649,146,\W1.001346;P
2651,168,2666,146,\W0.999117;e
2670,168,2680,146,\W1.000649;r
2682,168,2705,146,\W0.999516;m
2709,168,2714,146,\W0.998323;i
2716,168,2726,146,\W1.000029;t
2727,168,2742,146,\W1.002476;s
502,958,549,893,\W1.313683;J
511,959,558,893,\W1.313683;J
370,939,417,873,\W1.313683;J
1252,2656,1299,2590,\W1.313683;J
1047,1969,1094,1904,\W1.313683;J
1249,2677,1296,2612,\W1.313683;J
1255,2634,1302,2569,\W1.313683;J
1100,1612,1147,1547,\W1.313683;J
1250,2666,1297,2600,\W1.313683;J
1396,2678,1436,2620,\W0.927607;\Q0.00201;d
931,1196,990,1154,\W0.927607;\Q-0.00233;d
990,1235,1030,1177,\W0.927607;\Q0.00192;d
948,1214,1025,1138,\W1.233243;\Q0.00204;S
947,1206,998,1163,\W0.961887;\Q-0.00207;Z
1048,1030,1099,988,\W0.961887;\Q-0.00191;Z
1012,1030,1089,955,\W1.233243;\Q0.00184;S
1029,1214,1078,1159,\W0.961887;\Q0.00409;Z
1232,2775,1291,2718,\W0.961887;\Q0.00655;Z
948,1214,1025,1138,\W1.233243;\Q0.00204;S
1012,1030,1089,955,\W1.233243;\Q0.00184;S
502,958,549,893,\W1.313683;J
511,959,558,893,\W1.313683;J
370,939,417,873,\W1.313683;J
1252,2656,1299,2590,\W1.313683;J
1047,1969,1094,1904,\W1.313683;J
1249,2677,1296,2612,\W1.313683;J
1255,2634,1302,2569,\W1.313683;J
1100,1612,1147,1547,\W1.313683;J
1250,2666,1297,2600,\W1.313683;J
1118,1026,1122,1015,\W0.836953;\Q0.00187;!
1159,1027,1167,1017,\W0.836953;\Q-0.00667;!
1195,1000,1203,990,\W0.836953;\Q-0.00667;!
1230,972,1239,962,\W0.836953;\Q-0.00667;!
1266,945,1275,935,\W0.836953;\Q-0.00667;!
1280,904,1291,900,\W0.836953;\Q-0.00203;!
1286,859,1297,855,\W0.836953;\Q-0.00203;!
1293,815,1304,811,\W0.836953;\Q-0.00203;!
1300,771,1311,767,\W0.836953;\Q-0.00203;!
1307,726,1318,722,\W0.836953;\Q-0.00203;!
1313,682,1324,678,\W0.836953;\Q-0.00203;!
1320,637,1331,633,\W0.836953;\Q-0.00203;!
1327,594,1338,590,\W0.836953;\Q-0.00203;!
1333,549,1344,545,\W0.836953;\Q-0.00203;!
1340,505,1351,501,\W0.836953;\Q-0.00221;!
1348,460,1359,456,\W0.836953;\Q-0.00221;!
1355,417,1366,412,\W0.836953;\Q-0.00221;!
1397,420,1401,409,\W0.836953;\Q0.00183;!
1442,426,1446,415,\W0.836953;\Q0.00183;!
1486,432,1490,421,\W0.836953;\Q0.00183;!
1531,438,1535,427,\W0.836953;\Q0.00183;!
1396,2678,1436,2620,\W0.927607;\Q0.00201;d
931,1196,990,1154,\W0.927607;\Q-0.00233;d
990,1235,1030,1177,\W0.927607;\Q0.00192;d
948,1214,1025,1138,\W1.233243;\Q0.00204;S
947,1206,998,1163,\W0.961887;\Q-0.00207;Z
1048,1030,1099,988,\W0.961887;\Q-0.00191;Z
1012,1030,1089,955,\W1.233243;\Q0.00184;S
1029,1214,1078,1159,\W0.961887;\Q0.00409;Z
1232,2775,1291,2718,\W0.961887;\Q0.00655;Z
948,1214,1025,1138,\W1.233243;\Q0.00204;S
1012,1030,1089,955,\W1.233243;\Q0.00184;S
502,958,549,893,\W1.313683;J
511,959,558,893,\W1.313683;J
370,939,417,873,\W1.313683;J
1252,2656,1299,2590,\W1.313683;J
1047,1969,1094,1904,\W1.313683;J
1249,2677,1296,2612,\W1.313683;J
1255,2634,1302,2569,\W1.313683;J
1100,1612,1147,1547,\W1.313683;J
1250,2666,1297,2600,\W1.313683;J
1173,1348,1190,1321,\W1.001554;5
1193,1348,1210,1321,\W1.001712;0
1215,1347,1225,1321,\W1.000949;1
1233,1347,1250,1321,\W1.002074;7
1253,1348,1269,1321,\W1.001712;0
1273,1348,1290,1321,\W0.998941;6
1294,1352,1298,1321,"\W1.000148;,"
1313,1347,1330,1321,\W1.001005;2
1333,1347,1350,1321,\W1.002074;7
1353,1348,1370,1321,\W1.001422;8
1372,1347,1390,1321,\W1.000981;4
1393,1347,1410,1321,\W1.001005;2
1413,1348,1430,1321,\W1.001554;5
1433,1348,1450,1321,\W1.001712;0
1870,2728,1885,2709,\W1.001289;\Q0.00199;3
1883,2730,1897,2711,\W1.001005;\Q0.00199;2
1904,2734,1924,2714,\W1.001361;\Q0.00199;M
1924,2737,1944,2717,\W1.001361;\Q0.00199;M
1951,2738,1957,2721,\W1.002522;\Q0.00199;I
1956,2740,1970,2722,\W1.001151;\Q0.00199;n
1976,2744,1996,2725,\W1.000360;\Q0.00199;O
1994,2751,2009,2728,\W1.001469;\Q0.00199;p
2007,2748,2022,2729,\W1.001205;\Q0.00199;e
2021,2749,2032,2731,\W1.001496;\Q0.00199;r
2028,2751,2043,2733,\W1.000182;\Q0.00199;a
2041,2752,2050,2734,\W0.998143;\Q0.00199;t
2049,2753,2055,2736,\W0.998236;\Q0.00199;i
2053,2755,2068,2736,\W1.001058;\Q0.00199;o
2067,2757,2081,2738,\W1.001151;\Q0.00199;n
1469,2665,1484,2646,\W1.001289;\Q0.00199;3
1482,2666,1496,2648,\W1.001005;\Q0.00199;2
1503,2670,1523,2651,\W1.001361;\Q0.00199;M
1523,2673,1543,2654,\W1.001361;\Q0.00199;M
1550,2675,1556,2658,\W1.002522;\Q0.00199;I
1555,2677,1569,2659,\W1.001151;\Q0.00199;n
1575,2681,1595,2661,\W1.000360;\Q0.00199;O
1593,2688,1608,2664,\W1.001469;\Q0.00199;p
1606,2685,1621,2666,\W1.001205;\Q0.00199;e
1620,2686,1631,2668,\W1.001496;\Q0.00199;r
1627,2688,1642,2669,\W1.000182;\Q0.00199;a
1640,2689,1648,2671,\W0.998143;\Q0.00199;t
1648,2690,1654,2672,\W0.998236;\Q0.00199;i
1652,2692,1667,2673,\W1.001058;\Q0.00199;o
1666,2694,1680,2675,\W1.001151;\Q0.00199;n
2175,2757,2189,2738,\W1.001289;\Q0.00198;3
2187,2758,2202,2740,\W1.001005;\Q0.00198;2
2208,2762,2229,2743,\W1.001361;\Q0.00198;M
2228,2765,2249,2746,\W1.001361;\Q0.00198;M
2255,2767,2262,2750,\W1.002522;\Q0.00198;I
2261,2769,2275,2751,\W1.001151;\Q0.00198;n
2280,2773,2300,2753,\W1.000360;\Q0.00198;O
2299,2779,2314,2756,\W1.001469;\Q0.00198;p
2311,2777,2326,2758,\W1.001205;\Q0.00198;e
2326,2778,2336,2760,\W1.001496;\Q0.00198;r
2333,2780,2347,2761,\W1.000182;\Q0.00198;a
2345,2781,2354,2763,\W0.998142;\Q0.00198;t
2353,2781,2360,2764,\W0.998236;\Q0.00198;i
2358,2784,2372,2765,\W1.001058;\Q0.00198;o
2372,2785,2386,2767,\W1.001151;\Q0.00198;n
1625,2656,1639,2637,\W1.001289;\Q0.00201;3
1637,2658,1652,2639,\W1.001005;\Q0.00201;2
1658,2662,1679,2642,\W1.001361;\Q0.00201;M
1678,2665,1699,2645,\W1.001361;\Q0.00201;M
1705,2667,1712,2649,\W1.002522;\Q0.00201;I
1711,2669,1725,2650,\W1.001151;\Q0.00201;n
1730,2673,1750,2653,\W1.000360;\Q0.00201;O
1749,2679,1764,2656,\W1.001468;\Q0.00201;p
1761,2677,1776,2658,\W1.001205;\Q0.00201;e
1776,2678,1786,2660,\W1.001496;\Q0.00201;r
1783,2680,1797,2661,\W1.000182;\Q0.00201;a
1795,2681,1804,2663,\W0.998142;\Q0.00201;t
1803,2681,1810,2664,\W0.998236;\Q0.00201;i
1808,2683,1822,2665,\W1.001058;\Q0.00201;o
1822,2685,1836,2667,\W1.001151;\Q0.00201;n
1479,1029,1497,1018,\W1.000949;\Q-0.00187;1
1480,1018,1499,1004,\W1.001554;\Q-0.00187;5
1482,1005,1501,990,\W1.001712;\Q-0.00187;0
1485,985,1504,965,\W1.001361;\Q-0.00187;M
1488,965,1507,945,\W1.001361;\Q-0.00187;M
1491,938,1509,931,\W1.002522;\Q-0.00187;I
1492,932,1511,918,\W1.001151;\Q-0.00187;n
1495,913,1514,893,\W1.000360;\Q-0.00187;O
1497,895,1521,880,\W1.001469;\Q-0.00187;p
1499,881,1518,867,\W1.001205;\Q-0.00187;e
1501,868,1519,857,\W1.001496;\Q-0.00187;r
1502,861,1521,846,\W1.000182;\Q-0.00187;a
1504,847,1522,839,\W0.998142;\Q-0.00187;t
1505,840,1522,834,\W0.998236;\Q-0.00187;i
1506,835,1524,821,\W1.001058;\Q-0.00187;o
1508,821,1526,808,\W1.001151;\Q-0.00187;n
949,2595,968,2580,\W1.001289;\Q-0.00201;3
951,2582,970,2568,\W1.001712;\Q-0.00201;0
953,2569,972,2554,\W1.001712;\Q-0.00201;0
956,2549,975,2528,\W1.001361;\Q-0.00201;M
959,2529,978,2509,\W1.001361;\Q-0.00201;M
963,2502,980,2495,\W1.002522;\Q-0.00201;I
964,2496,982,2482,\W1.001151;\Q-0.00201;n
966,2477,986,2457,\W1.000360;\Q-0.00201;O
969,2459,993,2444,\W1.001469;\Q-0.00201;p
971,2445,990,2431,\W1.001205;\Q-0.00201;e
973,2432,991,2421,\W1.001496;\Q-0.00201;r
974,2425,993,2410,\W1.000182;\Q-0.00201;a
976,2412,994,2403,\W0.998142;\Q-0.00201;t
977,2404,995,2398,\W0.998236;\Q-0.00201;i
978,2399,997,2385,\W1.001058;\Q-0.00201;o
980,2386,999,2372,\W1.001151;\Q-0.00201;n
566,1117,578,1099,\W1.000949;\Q0.00202;1
578,1119,592,1100,\W1.001554;\Q0.00202;5
591,1121,606,1102,\W1.001712;\Q0.00202;0
611,1125,632,1105,\W1.001361;\Q0.00202;M
631,1128,651,1108,\W1.001361;\Q0.00202;M
658,1130,665,1112,\W1.002522;\Q0.00202;I
664,1132,678,1113,\W1.001151;\Q0.00202;n
683,1136,703,1116,\W1.000360;\Q0.00202;O
701,1142,717,1119,\W1.001469;\Q0.00202;p
715,1140,730,1121,\W1.001205;\Q0.00202;e
728,1141,739,1123,\W1.001496;\Q0.00202;r
736,1143,750,1124,\W1.000182;\Q0.00202;a
749,1144,758,1126,\W0.998142;\Q0.00202;t
756,1145,762,1127,\W0.998236;\Q0.00202;i
761,1147,776,1128,\W1.001058;\Q0.00202;o
775,1149,789,1130,\W1.001151;\Q0.00202;n
683,948,694,930,\W1.000949;\Q0.00183;1
695,950,709,931,\W1.001554;\Q0.00183;5
708,952,722,933,\W1.001712;\Q0.00183;0
728,955,748,936,\W1.001361;\Q0.00183;M
748,958,768,938,\W1.001361;\Q0.00183;M
775,959,782,942,\W1.002522;\Q0.00183;I
782,961,795,943,\W1.001151;\Q0.00183;n
800,965,820,945,\W1.000360;\Q0.00183;O
819,971,834,948,\W1.001469;\Q0.00183;p
832,968,847,950,\W1.001205;\Q0.00183;e
846,969,856,951,\W1.001496;\Q0.00183;r
853,971,867,952,\W1.000182;\Q0.00183;a
866,972,875,954,\W0.998142;\Q0.00183;t
874,972,879,955,\W0.998236;\Q0.00183;i
879,974,893,956,\W1.001058;\Q0.00183;o
892,976,906,958,\W1.001151;\Q0.00183;n
1208,1269,1226,1255,\W1.001289;\Q-0.00184;3
1209,1256,1228,1242,\W1.001712;\Q-0.00184;0
1211,1243,1230,1229,\W1.001712;\Q-0.00184;0
1214,1223,1233,1203,\W1.001361;\Q-0.00184;M
1217,1203,1236,1183,\W1.001361;\Q-0.00184;M
1220,1177,1239,1159,\W1.001176;\Q-0.00184;C
1222,1161,1241,1146,\W1.001058;\Q-0.00184;o
1224,1146,1243,1133,\W1.001151;\Q-0.00184;n
1226,1134,1245,1121,\W1.001060;\Q-0.00184;s
1228,1123,1245,1114,\W0.998142;\Q-0.00184;t
1229,1115,1247,1105,\W1.001496;\Q-0.00184;r
1230,1107,1248,1093,\W1.000532;\Q-0.00184;u
1231,1094,1250,1081,\W1.001537;\Q-0.00184;c
1233,1083,1251,1074,\W0.998142;\Q-0.00184;t
1234,1076,1253,1062,\W1.001205;\Q-0.00184;e
1236,1062,1254,1049,\W1.000382;\Q-0.00184;d
1237,1050,1255,1042,\W0.997766;\Q-0.00184;/
1239,1038,1258,1020,\W1.003087;\Q-0.00184;A
1241,1022,1260,1009,\W1.001060;\Q-0.00184;s
1244,1003,1261,997,\W0.998236;\Q-0.00184;l
1244,998,1263,983,\W1.000182;\Q-0.00184;a
1246,984,1264,978,\W0.998237;\Q-0.00184;i
1247,979,1266,966,\W1.000382;\Q-0.00184;d
1122,1786,1133,1768,\W1.000949;\Q0.00173;1
1134,1788,1148,1769,\W1.001554;\Q0.00173;5
1147,1790,1161,1771,\W1.001712;\Q0.00173;0
1167,1793,1187,1774,\W1.001361;\Q0.00173;M
1187,1795,1207,1776,\W1.001361;\Q0.00173;M
1213,1799,1231,1779,\W1.001176;\Q0.00173;C
1230,1800,1244,1782,\W1.001058;\Q0.00173;o
1244,1802,1258,1784,\W1.001151;\Q0.00173;n
1256,1804,1269,1785,\W1.001060;\Q0.00173;s
1268,1804,1277,1787,\W0.998142;\Q0.00173;t
1276,1805,1286,1788,\W1.001496;\Q0.00173;r
1284,1807,1298,1789,\W1.000532;\Q0.00173;u
1296,1809,1310,1790,\W1.001538;\Q0.00173;c
1308,1809,1317,1792,\W0.998142;\Q0.00173;t
1315,1811,1329,1793,\W1.001205;\Q0.00173;e
1328,1813,1342,1794,\W1.000382;\Q0.00173;d
1340,1814,1349,1796,\W0.997766;\Q0.00173;/
1353,1816,1371,1797,\W1.003087;\Q0.00173;A
1369,1818,1382,1799,\W1.001060;\Q0.00173;s
1388,1819,1394,1802,\W0.998237;\Q0.00173;l
1393,1821,1408,1803,\W1.000182;\Q0.00173;a
1407,1822,1413,1804,\W0.998237;\Q0.00173;i
1412,1823,1426,1805,\W1.000382;\Q0.00173;d
1281,758,1299,746,\W1.000949;\Q-0.00210;1
1282,746,1301,732,\W1.001554;\Q-0.00210;5
1284,733,1303,718,\W1.001712;\Q-0.00210;0
1288,713,1307,693,\W1.001361;\Q-0.00210;M
1291,693,1310,673,\W1.001361;\Q-0.00210;M
1294,670,1313,652,\W1.003087;\Q-0.00210;A
1297,652,1316,638,\W1.000382;\Q-0.00210;b
1299,640,1318,626,\W1.000182;\Q-0.00210;a
1301,626,1319,612,\W1.001151;\Q-0.00210;n
1303,614,1322,600,\W1.000382;\Q-0.00210;d
1305,601,1324,586,\W1.001058;\Q-0.00210;o
1307,586,1326,572,\W1.001151;\Q-0.00210;n
1309,574,1328,560,\W1.001205;\Q-0.00210;e
1311,561,1330,547,\W1.000382;\Q-0.00210;d
1876,1993,1887,1976,\W0.998941;6
1890,1993,1897,1976,\W1.000949;1
