blockno,xmin,ymin,xmax,ymax,label
0,963,1068,1101,1169,feder
0,1209,1419,1369,1531,feder
0,717,1438,867,1515,feder
1,2783,1435,2869,1525,feder
1,3550,1458,3644,1526,feder
3,996,2105,1083,2190,connecter
3,1506,2098,1606,2184,connecter
3,2009,2090,2102,2170,connecter
3,1253,2076,1345,2169,connecter
3,1773,2085,1862,2169,connecter
3,1511,2204,1602,2328,stp
3,2014,2337,2110,2497,tp
3,1506,2318,1609,2491,tp
3,1009,2337,1106,2500,tp
3,1260,2317,1362,2488,tp
3,728,2328,839,2479,tp
3,1774,2315,1874,2484,tp
4,2177,2929,2254,3023,connecter
4,3289,2109,3377,2181,connecter
4,2265,2120,2365,2189,connecter
4,3034,2094,3125,2175,connecter
4,2781,2108,2873,2194,connecter
4,2526,2101,2622,2184,connecter
4,2272,2239,2370,2342,stp
4,3298,2179,3398,2288,stp
4,3787,2321,3897,2492,tp
4,3031,2317,3140,2489,tp
4,2267,2325,2383,2475,tp
4,3291,2323,3399,2503,tp
4,2761,2326,2891,2504,tp
4,3533,2337,3658,2498,tp
4,2516,2321,2635,2493,tp
5,4334,2351,4371,2458,connecter
7,2166,3756,2236,3853,connecter
7,2167,3289,2224,3374,connecter
7,2174,3577,2258,3720,tp
