Rectangle,xmin,ymin,xmax,ymax
Rectangle,1857,1157,1918,1134
Rectangle,1857,1157,1918,1134
Rectangle,1898,2810,1904,2573
Rectangle,1898,2810,1904,2573
Rectangle,1538,2837,1875,2833
Rectangle,1538,2837,1875,2833
Rectangle,1509,2810,1515,2573
Rectangle,1509,2810,1515,2573
Rectangle,1538,2550,1875,2544
Rectangle,1538,2550,1875,2544
Rectangle,1921,2074,1932,2074
Rectangle,1921,2074,1932,2074
Rectangle,503,1931,2349,1922
Rectangle,503,1931,2349,1922
Rectangle,1660,2638,1729,2597
Rectangle,1660,2638,1729,2597
Rectangle,1682,2078,1718,2054
Rectangle,1682,2078,1718,2054
Rectangle,582,2393,630,2347
Rectangle,582,2393,630,2347
Rectangle,486,2196,619,2189
Rectangle,486,2196,619,2189
Rectangle,472,2393,519,2347
Rectangle,472,2393,519,2347
Rectangle,2405,2199,2409,1687
Rectangle,2405,2199,2409,1687
Rectangle,419,2198,424,1687
Rectangle,419,2198,424,1687
Rectangle,447,1665,2382,1658
Rectangle,447,1665,2382,1658
Rectangle,4018,2840,4024,2815
Rectangle,4018,2840,4024,2815
Rectangle,4208,2841,4212,2836
Rectangle,4208,2841,4212,2836
Rectangle,4011,2655,4016,2630
Rectangle,4011,2655,4016,2630
Rectangle,4302,2655,4307,2630
Rectangle,4302,2655,4307,2630
Rectangle,4365,2656,4369,2651
Rectangle,4365,2656,4369,2651
Rectangle,3877,2474,3881,2469
Rectangle,3877,2474,3881,2469
Rectangle,3887,2466,3897,2462
Rectangle,3887,2466,3897,2462
Rectangle,3877,2795,3881,2790
Rectangle,3877,2795,3881,2790
Rectangle,3887,2789,3897,2784
Rectangle,3887,2789,3897,2784
Rectangle,4169,2795,4174,2791
Rectangle,4169,2795,4174,2791
Rectangle,4212,2797,4217,2771
Rectangle,4212,2797,4217,2771
Rectangle,3887,2742,3897,2737
Rectangle,3887,2742,3897,2737
Rectangle,3993,2749,3999,2724
Rectangle,3993,2749,3999,2724
Rectangle,4024,2749,4029,2724
Rectangle,4024,2749,4029,2724
Rectangle,4155,2750,4160,2725
Rectangle,4155,2750,4160,2725
Rectangle,3887,2880,3897,2875
Rectangle,3887,2880,3897,2875
Rectangle,4169,2888,4174,2883
Rectangle,4169,2888,4174,2883
Rectangle,4212,2889,4217,2863
Rectangle,4212,2889,4217,2863
Rectangle,3877,2688,3881,2682
Rectangle,3877,2688,3881,2682
Rectangle,3887,2695,3897,2690
Rectangle,3887,2695,3897,2690
Rectangle,4284,2702,4289,2698
Rectangle,4284,2702,4289,2698
Rectangle,3887,2604,3897,2598
Rectangle,3887,2604,3897,2598
Rectangle,3945,2610,3949,2585
Rectangle,3945,2610,3949,2585
Rectangle,4413,2612,4418,2587
Rectangle,4413,2612,4418,2587
Rectangle,3887,2562,3897,2557
Rectangle,3887,2562,3897,2557
Rectangle,4284,2571,4289,2544
Rectangle,4284,2571,4289,2544
Rectangle,4390,2571,4394,2544
Rectangle,4390,2571,4394,2544
Rectangle,3880,2976,3886,2972
Rectangle,3880,2976,3886,2972
Rectangle,3880,2963,3886,2959
Rectangle,3880,2963,3886,2959
Rectangle,3891,2971,3900,2965
Rectangle,3891,2971,3900,2965
Rectangle,4052,2977,4057,2952
