Polyline,X,Y
1,3222,675
2,3486,675
1,3979,671
2,4114,671
text_xmin,text_ymin,text_xmax,text_ymax
4205,787,4641,479
2534,673,2798,581
2828,674,2889,575
2897,672,3120,556
3120,691,3124,575
3132,701,3429,575
3434,674,3486,575
3550,672,3635,584
3686,672,3759,583
3789,690,3791,584
3797,698,3856,584
3905,672,3932,605
3979,672,4115,584
603,680,1319,562
1379,682,2057,560
2549,719,2550,620
2555,719,2587,620
2534,830,2793,760
2793,829,2798,761
2821,849,3275,761
3290,830,3646,760
3676,829,3679,761
3683,830,3993,761
4002,829,4017,761
4024,849,4115,761
273,1155,683,1091
2469,1152,2719,1091
2740,1152,3262,1091
271,1509,848,1449
271,1867,490,1808
510,1868,828,1807
2469,1868,2702,1807
2728,1867,2812,1808
271,2225,524,2164
2467,2226,2544,2165
2570,2225,2734,2166
271,2582,674,2521
697,2581,763,2522
2465,2582,2666,2522
266,2938,439,2880
2466,2939,2758,2879
2782,2939,2870,2879
2890,2938,3019,2880
3039,2939,3562,2879
271,3296,478,3237
503,3297,643,3236
671,3297,792,3236
366,5435,430,5387
855,5434,1251,5386
1693,5435,1723,5387
1968,5434,2039,5386
2289,5435,2319,5387
2841,5434,3080,5386
3532,5420,3550,5361
4187,5434,4332,5386
4351,5434,4501,5386
347,5745,451,5698
294,5849,500,5787
845,5790,1007,5742
1028,5790,1140,5742
1163,5790,1260,5742
1658,5745,1761,5698
1608,5849,1808,5787
1891,5790,2126,5742
2219,5747,2301,5698
2320,5747,2391,5698
2217,5835,2393,5787
2500,5790,2695,5743
2890,5790,3029,5743
3262,5791,3569,5742
3590,5791,3824,5742
4049,5791,4271,5742
4289,5791,4360,5742
4380,5791,4637,5742
