Polyline,X,Y
1,2479,519
2,2682,519
1,3060,516
2,3165,516
text_xmin,text_ymin,text_xmax,text_ymax
3235,605,3570,368
1949,517,2152,447
2176,518,2222,442
2229,517,2400,428
2400,532,2403,442
2409,539,2638,442
2642,518,2682,442
2731,517,2796,449
2835,517,2892,448
2915,530,2916,449
2921,537,2966,449
3004,517,3025,465
3061,517,3165,449
463,523,1015,433
1060,524,1582,431
1960,553,1962,476
1966,553,1990,476
1949,638,2148,585
2148,637,2152,585
2170,653,2519,585
2531,639,2804,585
2828,637,2830,585
2833,638,3072,585
3078,637,3090,585
3096,653,3165,585
210,889,525,839
1899,886,2092,839
2108,886,2509,839
209,1161,652,1114
209,1436,377,1391
392,1437,637,1390
1899,1437,2078,1390
2098,1436,2163,1391
209,1711,403,1665
1897,1712,1957,1665
1977,1711,2103,1666
209,1986,518,1939
536,1985,587,1940
1896,1986,2050,1940
204,2260,338,2215
1897,2261,2122,2214
2140,2261,2207,2214
2223,2260,2323,2215
2338,2261,2740,2214
209,2535,368,2490
387,2536,494,2489
516,2536,609,2489
281,4180,331,4143
658,4180,962,4143
1302,4180,1325,4143
1514,4180,1569,4143
1761,4180,1784,4143
2186,4180,2369,4143
2717,4169,2731,4124
3221,4180,3332,4143
3347,4180,3462,4143
267,4419,346,4383
226,4499,384,4451
650,4454,775,4417
791,4454,877,4417
894,4454,969,4417
1275,4419,1355,4383
1237,4499,1390,4451
1454,4454,1635,4417
1707,4420,1770,4383
1784,4420,1839,4383
1705,4489,1841,4451
1923,4453,2073,4417
2223,4454,2330,4417
2510,4454,2745,4417
2761,4454,2941,4417
3115,4454,3285,4417
3299,4454,3354,4417
3370,4454,3567,4417
