Polyline,X,Y
1,95,1767
2,95,165
1,921,428
2,921,166
1,1292,1756
2,1292,995
1,2433,1504
2,2433,135
1,64,136
2,2434,136
1,95,166
2,2404,166
1,1923,219
2,2356,219
1,987,285
2,1136,285
1,998,321
2,1136,321
1,953,354
2,1136,354
1,996,418
2,1136,418
1,994,901
2,1401,901
1,950,991
2,1081,991
1,1486,859
2,1637,859
1,1496,879
2,1636,879
1,1543,916
2,1636,916
1,1467,940
2,1636,940
1,1430,989
2,1562,989
1,953,1745
2,1084,1745
1,1918,663
2,2134,663
1,1303,1745
2,1434,1745
text_xmin,text_ymin,text_xmax,text_ymax
184,158,195,145
430,158,440,144
676,158,687,144
922,158,932,144
75,449,85,435
75,695,85,681
75,941,85,927
75,1187,85,1174
75,1434,85,1420
75,1679,85,1666
184,1789,195,1775
430,1789,440,1773
922,1789,932,1773
1018,264,1042,253
1049,264,1131,253
1132,258,1136,247
987,279,1010,267
1019,279,1068,267
1077,279,1136,267
1018,304,1042,293
1049,304,1131,292
1132,297,1136,286
997,318,1021,306
1029,318,1079,306
1086,318,1136,306
1018,338,1042,327
1049,338,1131,326
1132,331,1136,320
953,352,1003,340
1011,352,1057,340
1065,352,1136,340
996,415,1074,403
1082,415,1136,403
994,859,1031,848
1169,158,1178,144
994,872,1009,861
1016,872,1088,860
1096,872,1133,861
1142,872,1164,860
1172,872,1195,860
1203,872,1278,860
1287,872,1317,860
1325,872,1339,861
1347,872,1371,861
994,885,1008,873
1016,885,1048,873
1056,885,1078,874
1086,885,1136,873
1144,885,1169,874
1177,885,1198,873
994,898,1050,886
1057,898,1078,886
1085,898,1100,886
1108,898,1123,887
1130,898,1201,886
1210,898,1247,886
1255,898,1280,887
1288,898,1302,887
1311,898,1340,886
1348,898,1370,886
1379,898,1401,887
1415,158,1424,142
1573,844,1637,832
1486,857,1575,845
1584,857,1637,845
1496,876,1574,864
1582,876,1636,864
1467,900,1550,889
1558,900,1636,889
1543,913,1590,901
1597,913,1636,901
1467,937,1550,925
1558,937,1636,925
1661,158,1671,144
1744,246,1768,235
1775,246,1863,235
1744,260,1803,248
1811,260,1845,248
1907,158,1917,145
1923,211,1927,175
1939,211,2112,195
2120,211,2161,195
2167,211,2342,195
2352,211,2356,175
1918,273,1968,261
1975,272,1994,261
2000,272,2084,261
1920,298,1929,287
1937,298,1952,287
1960,298,1984,287
1992,298,2017,287
2025,298,2050,287
2057,298,2072,287
2079,298,2120,286
2129,298,2143,287
2150,298,2158,287
2166,298,2194,287
2202,298,2245,287
2253,298,2315,287
2323,298,2347,287
1920,313,1976,301
1985,313,2044,301
2051,313,2080,301
2088,313,2133,301
2141,313,2156,301
2163,313,2245,301
2253,315,2335,301
1920,340,1930,328
1939,340,1968,329
1976,340,2018,328
2026,340,2088,328
2096,340,2120,328
2128,340,2186,328
2194,340,2253,328
2260,340,2289,329
2296,340,2321,329
2329,340,2343,329
1920,353,1973,342
1981,353,1997,342
2005,353,2083,342
2092,353,2145,342
2153,353,2168,342
2175,353,2182,342
2190,353,2232,341
2239,353,2293,341
1920,379,1930,368
1938,379,2002,367
2011,379,2100,367
2108,379,2169,367
2177,379,2205,368
2213,379,2220,368
2227,379,2250,367
2258,379,2336,367
1920,393,1981,382
1989,393,2025,382
2032,393,2058,382
2067,393,2096,382
2103,393,2127,382
2135,393,2192,382
2200,393,2225,382
2233,393,2247,382
2256,393,2304,382
2313,393,2366,382
1920,411,1981,396
1989,408,2032,396
2041,408,2091,396
2100,408,2122,396
2131,408,2147,396
2156,411,2217,396
1920,442,1976,431
1973,435,2012,423
2020,435,2079,423
2087,435,2133,423
2141,435,2220,423
2229,438,2271,423
2279,435,2289,423
2296,438,2339,423
2347,435,2372,424
2380,435,2394,424
2402,464,2404,428
2413,449,2423,435
1920,474,1930,462
1938,474,1954,462
1962,474,1998,462
2006,474,2031,462
2038,474,2076,462
2084,474,2155,462
2164,474,2186,462
2195,474,2237,462
2245,474,2270,462
2277,474,2292,462
2300,474,2353,462
2361,474,2368,462
1920,488,1949,477
1956,488,2004,477
2011,488,2050,477
2058,488,2083,477
2091,488,2122,477
2130,488,2183,477
2191,488,2207,477
2213,488,2295,477
2304,488,2382,477
1920,503,1967,491
1974,503,2013,491
2021,506,2048,491
2056,506,2087,491
1920,530,1929,519
1938,530,1953,518
1962,530,1998,518
2005,530,2030,518
2038,530,2075,518
2084,530,2155,518
2164,530,2186,519
2195,530,2237,518
2244,530,2267,519
2275,530,2305,519
2312,530,2359,518
1920,545,1959,533
1967,544,1992,533
1999,544,2014,533
2022,545,2075,533
2083,544,2105,533
2113,544,2142,533
2150,545,2200,533
2208,547,2283,533
1920,570,1930,559
1939,570,1953,559
1961,570,1979,559
1986,570,2023,559
2031,570,2068,559
2075,570,2093,559
2102,570,2151,558
2159,570,2184,559
2191,570,2216,559
2224,570,2239,559
2246,570,2314,559
2321,570,2336,559
1920,583,1987,572
1995,584,2012,572
2019,586,2105,572
1920,609,1930,598
1938,609,1958,598
1965,609,2012,598
2020,609,2099,598
2106,609,2132,598
2139,609,2154,598
2161,609,2202,598
2211,609,2253,598
2260,609,2342,598
2351,611,2373,598
1920,622,1962,611
1969,622,2051,611
2059,622,2138,611
2146,622,2181,611
2189,622,2212,611
2220,622,2243,611
2250,622,2265,611
2272,622,2313,610
2322,622,2364,611
1920,635,2002,623
2011,635,2060,623
2067,635,2140,623
2147,635,2177,623
1918,663,2046,649
2051,663,2135,651
1920,687,1930,675
1939,687,1953,675
1961,687,1996,675
2003,687,2026,675
2035,687,2057,675
2065,687,2079,675
2086,687,2128,675
2136,687,2150,675
2157,687,2212,675
2219,687,2247,675
2253,687,2302,675
2310,687,2341,675
1920,700,2002,688
2010,702,2038,688
2046,700,2073,688
2080,700,2129,688
2137,700,2159,688
2166,700,2181,688
2189,700,2203,688
2211,700,2257,688
2266,700,2296,688
2304,700,2326,688
2333,700,2370,688
1920,714,1942,703
1950,717,1973,703
1981,717,2014,703
1920,740,1936,728
1945,740,2008,728
2017,740,2106,728
2114,740,2168,728
2175,740,2200,729
2208,740,2223,729
2231,740,2286,728
2294,740,2319,729
2328,740,2394,728
1920,753,1951,741
1959,753,1981,742
1990,753,2044,741
2051,753,2106,742
2114,753,2135,741
2144,753,2159,742
2166,753,2202,741
2209,753,2254,741
2262,753,2328,741
2413,695,2423,681
2413,941,2423,927
950,987,954,961
957,993,1081,959
1430,984,1562,964
953,1743,1084,1731
1303,1743,1307,1717
1307,1745,1359,1718
1366,1750,1434,1719
1169,1789,1178,1773
1415,1789,1424,1773
2016,1089,2236,1066
1556,1116,1682,1099
1690,1116,1805,1098
2015,1103,2050,1091
2053,1106,2126,1091
2129,1103,2170,1091
2174,1103,2236,1091
1556,1158,1607,1146
1616,1160,1637,1147
1645,1161,1681,1147
1688,1158,1699,1147
1706,1158,1711,1147
1719,1158,1762,1146
1770,1158,1806,1147
1814,1158,1861,1147
1868,1158,1961,1146
1969,1161,2029,1147
2037,1158,2047,1147
2055,1158,2150,1147
2158,1158,2190,1147
2199,1158,2269,1146
2277,1158,2292,1147
2300,1158,2346,1147
1555,1183,1621,1171
1627,1186,1722,1171
1729,1183,1816,1171
1823,1183,1867,1171
1874,1183,1902,1171
1909,1186,1969,1172
1976,1183,2009,1171
2017,1183,2034,1171
2042,1186,2103,1172
2110,1183,2123,1171
2131,1183,2157,1171
2164,1183,2196,1171
2204,1183,2228,1171
2235,1183,2293,1171
2300,1183,2315,1171
2321,1183,2346,1171
1555,1208,1621,1197
1632,1211,1729,1197
1741,1208,1837,1197
1847,1208,1923,1197
1932,1208,1959,1197
1971,1212,2018,1197
2030,1212,2081,1197
2093,1208,2108,1197
2118,1208,2142,1197
2154,1208,2201,1197
2211,1208,2308,1197
2319,1208,2346,1197
1555,1234,1640,1222
1641,1234,1647,1222
1648,1234,1670,1222
1678,1234,1693,1222
1699,1234,1723,1222
1731,1237,1791,1222
1799,1234,1817,1222
1824,1237,1854,1222
1862,1234,1919,1222
1926,1234,1950,1222
1958,1234,2059,1222
2066,1234,2101,1222
2109,1237,2135,1222
2143,1234,2186,1222
2193,1237,2241,1222
2249,1234,2274,1222
2281,1234,2296,1222
2303,1234,2346,1222
1555,1259,1601,1247
1607,1259,1620,1247
1625,1259,1649,1247
1655,1262,1706,1247
1713,1259,1805,1247
1811,1259,1838,1247
1844,1259,1910,1247
1916,1259,1931,1247
1936,1259,2005,1247
2011,1259,2038,1247
2044,1262,2139,1247
2145,1259,2172,1247
2178,1259,2273,1247
2279,1262,2346,1247
1555,1284,1588,1272
1597,1284,1621,1272
1629,1284,1646,1272
1655,1284,1757,1272
1766,1284,1778,1272
1786,1284,1809,1272
1818,1284,1833,1272
1841,1287,1871,1272
1879,1284,1934,1272
1942,1284,1955,1272
1963,1287,1989,1272
1997,1284,2032,1272
2040,1284,2056,1272
2064,1287,2116,1272
2124,1284,2139,1272
2147,1284,2217,1272
2225,1284,2284,1272
2291,1284,2346,1272
1556,1312,1635,1297
1640,1309,1676,1297
1682,1308,1732,1297
1555,1350,1625,1339
1630,1350,1651,1339
1657,1354,1695,1339
1699,1350,1723,1339
1728,1350,1824,1339
1829,1354,1876,1339
1881,1354,1948,1339
1953,1350,1987,1339
1992,1350,2010,1339
2014,1350,2084,1339
2027,1699,2067,1633
1661,1789,1671,1774
1907,1789,1917,1775
2413,1187,2423,1174
2413,1434,2423,1420
