Polyline,X,Y
1,134,2474
2,134,231
1,1289,600
2,1289,232
1,1808,2459
2,1808,1393
1,3407,2106
2,3407,189
1,89,190
2,3408,190
1,133,233
2,3365,233
1,2692,306
2,3299,306
1,1382,399
2,1591,399
1,1397,449
2,1591,449
1,1335,496
2,1591,496
1,1395,585
2,1591,585
1,1392,1262
2,1961,1262
1,1330,1387
2,1514,1387
1,2081,1203
2,2293,1203
1,2095,1230
2,2291,1230
1,2160,1282
2,2291,1282
1,2054,1316
2,2291,1316
1,2002,1384
2,2186,1384
1,1334,2444
2,1518,2444
1,2685,928
1,1824,2444
2,2008,2444
text_xmin,text_ymin,text_xmax,text_ymax
257,221,273,202
602,221,616,202
947,222,962,202
1291,221,1306,202
105,628,119,609
105,973,119,954
105,1318,120,1299
105,1663,119,1643
106,2007,119,1988
105,2351,119,2332
258,2504,273,2485
602,2505,616,2482
1291,2505,1306,2482
1425,370,1459,354
1468,370,1584,354
1585,361,1591,345
1382,391,1415,374
1427,391,1496,374
1508,391,1591,374
1425,425,1459,410
1468,425,1584,409
1585,416,1591,400
1397,445,1429,429
1441,445,1511,429
1521,445,1591,429
1425,473,1459,457
1468,473,1584,457
1585,463,1591,448
1335,492,1404,476
1415,492,1480,476
1491,492,1591,476
1395,581,1504,564
1516,581,1591,564
1391,1203,1444,1187
1637,221,1650,202
1392,1221,1412,1205
1423,1221,1523,1205
1535,1221,1587,1205
1599,1221,1630,1205
1641,1221,1673,1205
1685,1221,1789,1205
1802,1221,1844,1205
1855,1221,1875,1205
1886,1221,1919,1205
1391,1239,1412,1223
1423,1239,1468,1223
1479,1239,1510,1223
1521,1239,1591,1223
1601,1239,1637,1223
1648,1239,1677,1223
1392,1257,1470,1241
1480,1257,1509,1241
1519,1257,1540,1241
1551,1257,1572,1241
1583,1257,1682,1241
1694,1257,1746,1241
1758,1257,1793,1241
1803,1257,1824,1241
1835,1257,1876,1241
1888,1257,1919,1241
1931,1257,1961,1241
1981,221,1994,199
2203,1181,2293,1165
2081,1199,2206,1183
2217,1199,2293,1183
2095,1226,2204,1210
2216,1226,2291,1210
2054,1261,2170,1244
2181,1261,2291,1244
2160,1279,2226,1262
2236,1279,2291,1262
2054,1312,2170,1296
2181,1312,2291,1296
2325,222,2340,202
2442,344,2476,329
2486,344,2608,328
2442,364,2524,347
2535,364,2583,347
2670,221,2684,202
2692,295,2698,245
2714,296,2957,273
2969,295,3025,273
3033,296,3279,273
3293,295,3299,245
2685,382,2755,365
2765,381,2792,366
2801,381,2918,365
2688,417,2700,402
2713,417,2733,402
2744,417,2778,402
2789,418,2824,401
2835,417,2870,402
2880,417,2901,402
2911,417,2968,401
2981,417,3001,402
3010,417,3021,402
3032,417,3072,402
3083,418,3143,401
3155,418,3241,401
3253,418,3286,401
2688,438,2767,421
2779,438,2862,421
2872,438,2912,422
2923,438,2987,421
2997,438,3019,421
3028,438,3144,421
3155,441,3269,421
2688,476,2702,460
2715,476,2756,460
2766,476,2826,460
2837,476,2924,460
2935,476,2969,460
