Polyline,X,Y
1,191,3535
2,191,331
1,1842,857
2,1842,331
1,2584,3513
2,2584,1990
1,4867,3009
2,4867,271
1,128,272
2,4868,272
1,190,333
2,4808,333
1,1974,570
2,2273,570
1,1996,642
2,2273,642
1,1907,709
2,2273,709
1,1993,836
2,2273,836
1,1988,1802
2,2802,1802
1,1899,1982
2,2163,1982
1,2973,1719
1,2993,1758
1,3086,1832
1,2935,1880
2,3273,1880
1,2861,1977
2,3124,1977
1,1906,3491
2,2169,3491
1,3837,1327
1,2606,3491
2,2868,3491
text_xmin,text_ymin,text_xmax,text_ymax
368,316,390,289
861,316,881,289
1353,317,1374,289
1845,316,1865,289
150,897,170,870
151,1390,171,1363
150,1882,171,1855
151,2375,171,2348
151,2868,170,2840
150,3359,170,3332
368,3578,391,3550
861,3578,881,3546
1845,3578,1865,3546
2036,529,2084,506
2098,529,2263,506
2264,516,2273,493
1974,558,2021,535
2038,558,2137,535
2155,558,2273,535
2036,608,2084,585
2098,608,2263,584
2264,594,2273,572
1995,636,2042,612
2059,636,2159,612
2173,635,2273,613
2036,676,2084,653
2098,676,2263,652
2264,662,2273,640
1907,704,2006,680
2022,704,2114,680
2130,704,2273,680
1993,830,2149,806
2165,830,2273,806
1988,1719,2063,1695
2338,316,2357,289
1988,1744,2018,1722
2033,1745,2176,1721
2193,1745,2267,1721
2284,1744,2328,1721
2344,1745,2391,1721
2407,1745,2556,1721
2574,1745,2635,1721
2650,1744,2679,1722
2694,1744,2742,1722
1988,1770,2017,1747
2033,1770,2097,1747
2113,1770,2157,1747
2172,1770,2272,1747
2288,1770,2338,1747
2355,1770,2396,1747
1988,1796,2100,1773
2114,1796,2156,1773
2171,1796,2200,1773
2216,1796,2247,1773
2261,1796,2403,1773
2421,1796,2495,1773
2511,1796,2561,1773
2576,1796,2605,1773
2622,1796,2681,1773
2697,1796,2741,1773
2758,1796,2802,1773
2830,316,2849,285
3147,1687,3275,1664
2973,1713,3151,1690
3168,1713,3275,1690
2993,1752,3149,1729
3165,1752,3273,1729
2935,1801,3100,1777
3116,1801,3273,1777
3086,1827,3180,1803
3195,1827,3273,1803
2935,1874,3100,1851
3116,1874,3273,1851
3322,317,3343,289
3489,492,3537,470
3551,492,3726,469
3489,520,3606,496
3622,520,3690,496
3815,316,3835,289
3847,422,3855,350
3878,423,4225,390
4241,422,4322,391
4334,423,4685,390
4705,422,4713,350
3837,545,3936,522
3950,545,3989,522
4001,545,4169,522
3840,596,3858,574
3875,596,3905,574
3921,596,3969,574
3985,597,4035,573
4050,596,4100,574
4115,596,4145,574
4158,596,4241,573
4258,596,4287,574
4300,596,4316,574
4332,596,4389,574
4405,597,4491,573
4507,597,4630,573
4647,597,4694,573
3840,626,3953,602
3970,626,4089,602
4103,625,4160,603
4176,625,4267,602
4282,626,4312,602
4326,626,4491,602
4507,630,4671,602
3840,680,3860,657
3878,680,3937,657
3952,680,4037,657
4053,680,4177,657
4193,680,4241,657
4257,680,4372,657
4388,680,4506,657
4521,680,4578,657
4592,680,4643,657
4658,680,4687,657
3840,707,3946,683
3962,707,3994,683
4010,707,4167,683
4184,707,4291,683
4307,706,4337,684
4350,706,4365,684
4381,706,4465,683
4479,706,4586,683
3840,758,3860,735
3877,758,4004,735
4022,758,4200,735
4216,758,4338,735
4355,758,4411,735
4426,758,4440,735
4455,758,4501,735
4516,758,4673,735
3840,787,3962,764
3978,787,4050,764
4065,787,4116,764
4134,787,4192,764
4207,787,4254,764
4271,787,4385,764
4400,787,4451,764
4466,787,4495,764
4512,787,4609,764
4626,787,4733,764
3839,822,3962,793
3978,815,4065,792
4082,816,4183,793
4200,815,4244,793
4262,816,4295,793
4312,822,4435,793
3840,884,3953,862
3946,870,4024,847
4040,870,4158,847
4175,870,4267,847
4283,870,4441,847
4458,877,4543,847
4559,871,4578,847
4593,877,4678,847
4694,870,4744,848
4760,870,4789,848
4804,928,4808,855
