Polyline,X,Y
1,249,4595
2,249,430
1,2394,1114
2,2394,431
1,3359,4567
2,3359,2587
1,6327,3912
2,6327,352
1,166,354
2,6329,354
1,247,433
2,6250,433
1,2567,742
2,2955,742
1,2595,834
2,2955,834
1,2479,922
2,2955,922
1,2591,1086
2,2955,1086
1,2585,2343
2,3642,2343
1,2469,2576
2,2812,2576
1,3865,2235
2,4258,2235
1,3891,2285
2,4255,2285
1,4012,2381
2,4255,2381
1,3816,2444
2,4255,2444
1,3719,2571
2,4061,2571
1,2477,4538
2,2820,4538
1,4988,1725
2,5550,1725
1,3387,4538
2,3729,4538
text_xmin,text_ymin,text_xmax,text_ymax
478,411,507,376
1119,411,1145,376
1759,412,1786,375
2399,411,2425,376
195,1167,221,1131
196,1807,222,1771
195,2447,223,2412
196,3088,222,3052
196,3728,222,3692
195,4367,221,4331
479,4651,508,4616
1119,4651,1145,4610
2399,4651,2425,4610
2647,688,2710,658
2728,688,2942,658
2943,671,2955,642
2567,726,2628,696
2650,726,2779,696
2801,726,2955,696
2647,790,2710,761
2728,790,2942,760
2943,773,2955,743
2594,827,2655,796
2677,827,2806,796
2825,826,2955,797
2647,879,2710,849
2728,879,2942,848
2943,861,2955,832
2479,915,2608,884
2629,915,2748,884
2769,915,2955,884
2591,1079,2794,1048
2815,1079,2955,1048
2584,2234,2682,2204
3040,411,3065,376
2585,2267,2623,2238
2643,2268,2829,2238
2851,2268,2947,2238
2970,2267,3027,2237
3048,2268,3108,2238
3130,2268,3323,2238
3346,2268,3425,2238
3445,2267,3482,2238
3503,2267,3565,2238
2585,2301,2623,2271
2643,2301,2727,2271
2746,2301,2805,2272
2824,2302,2954,2271
2974,2301,3040,2272
3062,2302,3115,2271
2585,2335,2730,2305
2748,2335,2803,2305
2822,2335,2861,2305
2881,2335,2921,2306
2939,2335,3125,2305
3147,2335,3244,2305
3265,2335,3330,2306
3349,2335,3387,2306
3408,2335,3485,2305
3507,2335,3564,2305
3586,2335,3643,2306
3679,411,3704,370
4092,2194,4258,2163
3865,2228,4096,2197
4118,2228,4258,2197
3891,2278,4094,2247
4115,2278,4255,2247
3816,2341,4030,2311
4051,2341,4255,2311
4012,2375,4134,2344
4154,2375,4255,2344
3816,2437,4030,2406
4051,2437,4255,2406
4318,412,4346,375
4536,640,4599,611
4617,640,4844,610
4536,676,4688,645
4709,676,4798,645
4959,411,4986,376
5001,549,5011,455
5041,550,5492,507
5514,549,5619,508
5634,550,6091,507
6117,549,6127,455
4988,709,5117,679
5135,709,5186,679
5202,709,5419,678
4992,776,5016,746
5038,776,5076,746
5097,776,5159,746
5180,776,5245,746
5265,776,5330,746
5349,776,5388,746
5406,776,5513,745
5536,776,5573,746
5591,776,5611,746
5631,776,5706,746
5727,776,5838,746
5860,776,6019,746
6041,776,6102,746
4992,813,5139,783
5161,813,5316,783
5335,813,5408,784
5429,813,5547,783
5567,813,5606,783
5624,813,5839,783
5860,819,6072,783
4992,884,5019,854
5042,884,5118,855
5138,884,5248,854
5270,884,5430,854
5451,884,5513,854
5535,885,5683,854
5705,884,5859,854
5877,884,5951,855
5970,884,6036,855
6056,884,6093,855
4992,919,5130,888
5150,919,5192,888
5213,919,5417,888
5439,919,5578,888
5600,918,5638,889
5655,918,5675,889
5695,918,5805,888
5823,918,5962,888
4992,986,5019,956
5040,986,5205,956
5228,986,5460,956
5480,986,5640,956
5662,985,5734,956
5754,985,5772,956
5792,986,5851,956
5872,986,6075,956
4992,1023,5150,993
5172,1023,5265,993
5284,1023,5351,993
5375,1023,5450,993
5469,1023,5531,993
5552,1023,5701,993
5721,1023,5787,993
5806,1023,5844,993
5866,1023,5992,993
6013,1023,6153,993
4991,1069,5151,1030
5171,1060,5284,1030
5307,1061,5438,1030
5460,1060,5518,1031
5541,1061,5584,1030
5605,1069,5766,1030
4992,1150,5138,1120
5130,1131,5232,1101
5252,1132,5405,1101
5428,1132,5547,1101
5568,1132,5774,1101
5795,1140,5906,1101
5926,1132,5951,1101
5971,1140,6081,1101
6103,1131,6168,1102
6189,1131,6226,1102
6246,1206,6251,1112
6275,1167,6301,1131
4992,1233,5019,1203
5040,1233,5081,1202
5103,1233,5196,1202
5215,1233,5281,1202
5301,1233,5398,1202
5419,1233,5605,1202
5628,1233,5685,1202
5708,1233,5818,1202
5837,1232,5902,1203
5922,1232,5960,1203
5981,1233,6120,1202
6139,1232,6158,1203
4992,1270,5068,1240
5087,1270,5211,1240
5229,1270,5331,1240
5351,1270,5417,1240
5438,1270,5518,1240
5539,1270,5677,1240
5698,1270,5738,1240
5755,1270,5969,1240
5991,1270,6194,1240
4992,1308,5114,1278
5133,1308,5234,1278
5256,1316,5326,1278
5347,1316,5426,1278
4992,1379,5016,1349
5039,1379,5079,1348
5102,1379,5195,1348
5214,1379,5280,1348
5300,1379,5397,1348
5418,1379,5604,1348
5627,1378,5684,1349
5707,1378,5817,1348
5835,1378,5894,1349
5917,1378,5993,1349
6012,1379,6135,1348
4992,1416,5093,1386
5114,1416,5179,1387
5199,1416,5236,1387
5258,1416,5397,1386
5415,1416,5473,1387
5494,1416,5569,1387
5591,1416,5720,1386
5741,1422,5935,1386
4993,1483,5019,1453
5041,1483,5079,1453
5099,1483,5145,1453
5165,1483,5260,1453
5281,1483,5378,1453
5396,1483,5443,1453
5466,1483,5593,1452
5613,1483,5679,1453
5698,1483,5763,1453
5784,1483,5822,1453
5841,1483,6016,1453
6036,1483,6074,1453
4992,1517,5167,1487
5187,1518,5233,1487
5250,1523,5474,1487
4992,1585,5019,1555
5039,1584,5091,1555
5111,1585,5232,1555
5252,1585,5458,1555
5477,1584,5543,1555
5563,1584,5601,1555
5619,1584,5727,1554
5749,1585,5858,1555
5876,1584,6091,1554
6114,1590,6170,1555
4992,1618,5103,1588
5121,1618,5334,1588
5355,1618,5559,1588
5580,1618,5672,1588
5693,1618,5751,1588
5774,1618,5832,1588
5852,1618,5890,1588
5908,1618,6015,1587
6038,1618,6146,1588
4992,1652,5206,1621
5228,1651,5356,1621
5374,1652,5564,1621
5584,1652,5661,1621
4988,1724,5321,1687
5334,1724,5551,1693
4992,1786,5019,1756
5041,1786,5079,1756
5099,1786,5191,1756
5210,1786,5269,1756
5291,1786,5349,1756
5369,1786,5407,1756
5425,1786,5533,1755
5554,1786,5592,1756
5609,1786,5751,1756
5770,1786,5842,1756
5860,1786,5986,1755
6008,1786,6086,1756
4992,1820,5206,1789
