Polyline,X,Y
1,233,822
2,233,716
1,1527,768
2,1527,605
1,2433,1798
2,2433,135
1,64,136
2,2434,136
1,939,457
2,1196,457
1,709,481
2,1617,481
1,733,608
2,1000,608
1,275,1035
2,457,1035
1,1107,1035
2,1231,1035
1,1421,1374
2,1610,1374
1,2145,651
2,2307,651
1,2142,735
2,2309,735
1,2094,777
2,2359,777
1,2176,799
2,2276,799
1,1197,1404
2,1236,1404
1,1873,1675
2,2027,1675
text_xmin,text_ymin,text_xmax,text_ymax
64,329,86,311
75,448,85,433
64,575,86,557
75,695,85,681
64,820,96,802
75,941,85,927
75,1187,85,1171
184,158,195,144
309,157,311,137
430,158,440,144
556,157,557,137
675,158,687,144
802,157,804,137
922,158,932,142
1169,158,1178,142
892,391,966,379
976,391,1089,379
1101,391,1168,379
1179,391,1272,379
1294,157,1296,137
1415,158,1424,142
1661,158,1671,144
1786,157,1788,137
1653,332,1699,321
1712,332,1741,321
1754,332,1771,321
1781,332,1830,321
1842,332,1872,321
1653,350,1717,338
1729,350,1769,338
1781,350,1811,339
1823,350,1842,338
1907,158,1917,144
779,416,788,405
789,412,799,405
800,416,819,405
1292,416,1331,405
488,444,538,432
543,477,573,466
939,452,954,441
959,448,968,441
969,452,978,441
990,452,1073,441
1086,452,1145,441
1158,452,1196,441
1389,460,1439,449
1653,423,1721,411
1734,423,1754,411
1765,423,1783,412
1793,423,1851,411
1653,445,1753,430
1764,442,1783,430
1795,442,1814,430
1826,445,1939,430
1653,499,1748,487
1761,499,1820,487
384,480,538,457
711,485,716,462
1022,530,1042,487
1389,497,1543,474
340,465,395,450
408,461,448,450
461,461,510,450
522,465,538,450
709,557,716,545
851,477,889,465
1166,477,1204,466
1270,524,1272,513
1326,501,1344,399
1389,481,1443,466
1456,478,1496,466
1508,478,1558,466
1570,478,1578,466
1578,509,1616,497
1602,489,1617,477
1608,557,1644,489
619,504,647,493
827,504,845,493
847,500,856,493
857,504,866,493
1024,555,1042,503
1033,548,1050,495
1350,573,1418,496
1429,571,1569,505
638,558,687,503
821,573,859,518
872,573,1213,538
1226,573,1264,538
1277,573,1315,538
1653,517,1683,505
1695,517,1712,506
1723,517,1771,505
1783,517,1813,505
1825,517,1898,505
191,787,202,768
218,787,230,776
192,797,202,785
218,797,230,787
186,816,204,804
217,814,233,802
788,586,834,574
847,586,876,574
887,586,1000,574
733,604,779,592
790,604,854,592
866,604,906,592
918,604,968,592
980,604,1000,592
1039,661,1078,649
874,682,913,670
373,779,514,711
705,762,752,742
743,763,783,742
781,756,820,742
819,765,1313,738
1347,755,1350,735
1355,775,1359,755
1370,778,1386,764
1403,765,1414,745
1428,766,1442,745
373,802,380,781
471,788,485,778
489,785,490,776
1112,820,1131,806
1404,801,1407,792
1428,801,1440,792
1206,840,1221,827
1321,852,1340,839
1402,859,1440,802
191,856,202,843
303,853,315,839
1160,860,1185,842
1312,868,1325,855
172,900,203,870
303,900,317,871
481,872,497,858
1136,877,1146,863
1159,877,1203,863
1216,877,1225,863
1295,877,1305,863
172,894,203,871
275,894,288,880
303,894,315,871
317,894,366,872
366,906,392,883
392,894,547,872
547,910,572,883
572,894,647,867
1196,909,1198,887
1202,910,1204,888
1209,910,1248,901
191,919,203,889
275,912,315,882
1026,931,1521,894
192,945,202,934
218,945,230,936
191,1036,288,984
