Polyline,X,Y
1,607,1863
1,3971,1997
1,6327,4675
2,6327,352
1,167,354
2,6329,354
1,2441,1188
2,3111,1188
1,1844,1252
1,1906,1581
2,2599,1581
1,2878,2692
2,3202,2692
1,3696,3574
2,4188,3574
1,5578,1693
2,5999,1693
1,5571,1912
2,6005,1912
1,5446,2020
1,5658,2078
2,5918,2078
1,3114,3651
2,3215,3651
1,4872,4356
2,5271,4356
text_xmin,text_ymin,text_xmax,text_ymax
167,857,225,810
195,1167,221,1125
167,1495,225,1448
195,1807,221,1771
167,2132,251,2085
195,2447,222,2412
195,3088,222,3046
478,411,507,376
805,410,810,357
1118,411,1145,376
1445,410,1450,357
1757,412,1786,375
2085,410,2090,357
2399,411,2425,370
3040,411,3064,370
2321,1017,2512,987
2539,1017,2833,987
2864,1017,3037,987
3067,1017,3308,987
3365,410,3370,357
3679,411,3704,370
4318,412,4346,375
4645,410,4650,357
4298,865,4418,834
4452,865,4528,834
4560,864,4605,835
4632,865,4758,834
4789,865,4868,834
4298,911,4465,881
4496,911,4601,881
4632,911,4708,881
4740,911,4791,881
4959,411,4986,376
2027,1083,2049,1053
2053,1071,2077,1053
2081,1083,2129,1053
3359,1083,3460,1053
1270,1154,1400,1124
1413,1241,1491,1212
2441,1177,2482,1147
2493,1165,2517,1147
2520,1177,2543,1147
2575,1177,2792,1147
2823,1177,2978,1147
3011,1177,3111,1147
3612,1198,3743,1168
4298,1101,4477,1070
4508,1101,4561,1070
4591,1100,4635,1071
4663,1101,4814,1070
4298,1158,4558,1119
4587,1149,4636,1119
4669,1149,4718,1120
4747,1158,5041,1119
4299,1299,4547,1268
4580,1299,4733,1268
999,1248,1400,1190
1849,1261,1862,1202
2658,1378,2709,1266
3613,1293,4013,1234
886,1209,1028,1171
1061,1200,1167,1171
1198,1201,1326,1171
1358,1209,1400,1171
1844,1448,1862,1419
2212,1240,2312,1210
3032,1242,3132,1212
3303,1364,3307,1335
3447,1303,3496,1038
3611,1252,3752,1214
3785,1243,3891,1214
3922,1243,4050,1213
4083,1243,4103,1214
4104,1324,4203,1294
4167,1271,4204,1241
4182,1448,4275,1272
1611,1312,1683,1282
2150,1312,2199,1282
2202,1300,2226,1282
2229,1312,2252,1282
2662,1444,2711,1309
2686,1425,2731,1289
3510,1491,3686,1291
3716,1486,4079,1313
1659,1451,1787,1307
2136,1490,2233,1349
2268,1490,3156,1398
3190,1490,3288,1399
3322,1490,3419,1399
4299,1345,4376,1315
4408,1345,4453,1316
4480,1345,4606,1315
4636,1345,4715,1315
4747,1345,4936,1315
498,2046,526,1998
567,2047,598,2020
499,2073,527,2041
567,2073,598,2046
485,2122,532,2090
566,2118,606,2087
2049,1524,2169,1494
2203,1524,2278,1494
2307,1524,2600,1494
1906,1571,2025,1541
2055,1571,2220,1541
2253,1571,2356,1541
2388,1571,2517,1541
2548,1571,2600,1541
2702,1719,2803,1689
2273,1773,2374,1743
972,2027,1338,1850
1833,1983,1957,1930
1934,1983,2036,1930
2030,1966,2133,1930
