Polyline,X,Y
1,1006,2556
2,1080,2556
3,1080,1977
4,1065,1977
5,1065,1960
6,1080,1960
7,1080,1921
8,1106,1921
9,1106,2556
10,1688,2556
11,1688,2582
12,1032,2582
13,1032,2668
14,340,2668
15,340,2582
16,168,2582
17,168,2410
18,82,2410
19,82,1951
20,168,1951
21,168,1319
22,82,1319
23,82,860
24,168,860
25,168,286
26,885,286
27,885,313
28,870,313
29,870,327
30,854,327
31,854,313
32,194,313
33,194,860
34,538,860
35,538,688
36,854,688
37,854,490
38,870,490
39,870,528
40,894,528
41,894,545
42,870,545
43,870,688
44,1089,688
45,1089,545
46,1066,545
47,1066,528
48,1106,528
49,1106,1519
50,1080,1519
51,1080,1480
52,1065,1480
53,1065,1463
54,1080,1463
55,1080,714
56,555,714
57,555,887
58,108,887
59,108,1293
60,194,1293
61,194,1463
62,778,1463
63,778,1480
64,764,1480
65,764,1577
66,747,1577
67,747,1480
68,194,1480
69,194,1960
70,747,1960
71,747,1864
72,764,1864
73,764,1960
74,778,1960
75,778,1977
76,108,1977
77,108,2384
78,194,2384
79,194,2556
80,366,2556
81,366,2642
82,1006,2642
1,1324,327
2,1324,313
3,1748,313
4,1748,688
5,1324,688
6,1324,490
7,1307,490
8,1307,745
9,1324,745
10,1324,714
11,1436,714
12,1436,1062
13,1324,1062
14,1324,1032
15,1307,1032
16,1307,1089
17,1463,1089
18,1463,714
19,2149,714
20,2149,2185
21,1989,2185
22,1989,2240
23,2006,2240
24,2006,2211
25,2149,2211
26,2149,2556
27,2006,2556
28,2006,2527
29,1989,2527
30,1989,2556
31,1860,2556
32,1860,2582
33,2176,2582
34,2176,688
35,1774,688
36,1774,286
37,1057,286
38,1057,313
39,1307,313
40,1307,327
1,3253,1951
2,3167,1951
3,3167,2410
4,3253,2410
5,3253,2582
6,3425,2582
7,3425,2668
8,4117,2668
9,4117,2582
10,4860,2582
11,4860,688
12,3253,688
13,3253,860
14,3167,860
15,3167,1319
16,3253,1319
1,3786,1788
2,3456,1788
3,3456,1805
4,3827,1805
5,3827,1788
6,3813,1788
7,3813,1645
8,3888,1645
9,3888,1628
10,3773,1628
11,3773,1310
12,4175,1310
13,4175,1788
14,3961,1788
15,3961,1805
16,4175,1805
17,4175,1819
18,4192,1819
19,4192,1279
20,4175,1279
21,4175,1293
22,3193,1293
23,3193,887
24,3280,887
25,3280,714
26,3951,714
27,3951,756
28,3968,756
29,3968,714
30,4111,714
31,4111,1085
32,3968,1085
33,3968,1043
34,3951,1043
35,3951,1102
36,3968,1102
37,4175,1102
38,4175,1116
39,4192,1116
40,4192,1102
41,4364,1102
42,4364,1312
43,4380,1312
44,4380,1085
45,4288,1085
46,4288,1043
47,4272,1043
48,4272,1085
49,4128,1085
50,4128,714
51,4272,714
52,4272,756
53,4288,756
54,4288,714
55,4833,714
56,4833,1489
57,4380,1489
58,4380,1475
59,4364,1475
